epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1030.12,1.20878,2.31652,0.94339,1.09747,0.61045,0.31461,0.33386,0.20756,0.45815,0.2427,0.23209,0.11596,1.15677,2.08992,0.74334,1.04926,0.00333295,0.00333295,0.00333295
1,1013.35,1.20878,2.31652,0.94339,1.09747,0.61045,0.31461,0.33386,0.20756,0.45815,0.2427,0.23209,0.11596,1.15677,2.08992,0.74334,1.04926,0.00333295,0.00333295,0.00333295
2,2464.41,1.14525,2.05677,0.77085,1.05393,0.50298,0.32189,0.3349,0.20767,0.36878,0.24453,0.2327,0.11532,1.15614,2.02009,0.73312,1.05188,0.00660029,0.00660029,0.00660029
3,3520.82,1.16852,2.06474,0.78902,1.0693,0.51624,0.31126,0.32996,0.2032,0.3678,0.23714,0.22585,0.11209,1.16534,2.00934,0.73056,1.06983,0.00980163,0.00980163,0.00980163
4,4454.36,1.15491,2.03319,0.7742,1.06874,0.59607,0.32005,0.33685,0.20855,0.46511,0.24038,0.23454,0.11666,1.11324,1.95332,0.69403,1.04906,0.009703,0.009703,0.009703
5,5389.44,1.10176,1.93396,0.72526,1.04717,0.61609,0.3309,0.35047,0.21756,0.46462,0.25077,0.24234,0.12074,1.09128,1.90837,0.67107,1.04064,0.009604,0.009604,0.009604
6,6323.32,1.06483,1.85895,0.69181,1.03206,0.62534,0.33794,0.36191,0.22503,0.47402,0.2536,0.24743,0.12354,1.07442,1.88161,0.65746,1.03446,0.009505,0.009505,0.009505
7,7255.52,1.04015,1.80365,0.66935,1.02219,0.63908,0.33917,0.36487,0.2276,0.48171,0.25729,0.25005,0.12418,1.07493,1.86551,0.64916,1.03796,0.009406,0.009406,0.009406
8,8180.96,1.01903,1.75335,0.65091,1.01316,0.62057,0.34611,0.36802,0.22961,0.47967,0.25763,0.2514,0.12503,1.06419,1.85878,0.64127,1.03446,0.009307,0.009307,0.009307
9,9105.28,1.00199,1.70896,0.63452,1.00503,0.62682,0.35065,0.3725,0.23277,0.48823,0.25976,0.25399,0.12614,1.06184,1.85732,0.63667,1.03375,0.009208,0.009208,0.009208
