epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2658,1.56128,2.6567,2.37638,1.39356,0.82232,0.32034,0.41785,0.28075,0.66193,0.39024,0.38317,0.23669,1.31835,2.08761,1.67169,1.25873,0.000195166,0.000195166,0.000195166
2,22.9741,1.30091,2.08482,1.38068,1.23283,0.86946,0.40057,0.48716,0.29314,0.87606,0.4052,0.49765,0.25493,1.55177,2.70687,1.24869,1.5111,0.000365349,0.000365349,0.000365349
3,32.5282,1.21986,1.93949,1.24755,1.18823,0.71296,0.49401,0.61335,0.40096,0.72704,0.50271,0.62928,0.37136,1.54512,2.18251,1.17251,1.48268,0.00050966,0.00050966,0.00050966
4,42.0369,1.1389,1.82913,1.14815,1.14671,0.62906,0.58216,0.60294,0.40867,0.63456,0.58679,0.6086,0.34952,1.50371,2.81148,1.1513,1.49158,0.000471576,0.000471576,0.000471576
5,51.5946,1.06844,1.71972,1.06685,1.11453,0.77326,0.571,0.67279,0.4264,0.79105,0.5842,0.68786,0.38495,1.56406,3.08188,1.04614,1.5613,0.000432768,0.000432768,0.000432768
6,61.5329,1.00948,1.63766,0.99707,1.08667,0.73505,0.65418,0.68783,0.49526,0.7496,0.663,0.69839,0.44121,1.49592,3.1739,1.02074,1.52309,0.00039396,0.00039396,0.00039396
7,71.3272,0.95,1.56227,0.93605,1.06001,0.76025,0.6889,0.70945,0.49476,0.75178,0.67849,0.69589,0.41846,1.4572,2.86665,1.00754,1.44656,0.000355152,0.000355152,0.000355152
8,80.7534,0.89318,1.49591,0.87918,1.0375,0.63358,0.69773,0.69972,0.48509,0.63857,0.70236,0.71225,0.41926,1.46306,3.04796,0.97251,1.45408,0.000316344,0.000316344,0.000316344
9,90.2919,0.84031,1.4446,0.83184,1.01692,0.65589,0.69106,0.68482,0.47084,0.67064,0.70495,0.70474,0.41389,1.49206,2.85059,0.95934,1.52807,0.000277536,0.000277536,0.000277536
10,99.8046,0.7859,1.38437,0.7787,0.99665,0.78498,0.63273,0.73084,0.47793,0.78498,0.63273,0.71656,0.43361,1.41769,3.13157,0.88597,1.43566,0.000238728,0.000238728,0.000238728
11,109.257,0.74377,1.33495,0.74414,0.98232,0.61741,0.65356,0.70178,0.47671,0.61753,0.65786,0.70437,0.45565,1.4828,3.04264,0.97218,1.46385,0.00019992,0.00019992,0.00019992
12,118.805,0.69876,1.28896,0.70906,0.96708,0.6093,0.69854,0.72361,0.48769,0.61592,0.7078,0.72993,0.44867,1.42051,3.36064,0.91215,1.44958,0.000161112,0.000161112,0.000161112
13,128.536,0.66046,1.25694,0.6794,0.95613,0.60776,0.70785,0.7221,0.4867,0.61568,0.7171,0.73032,0.44033,1.42053,3.52221,0.92899,1.44434,0.000122304,0.000122304,0.000122304
14,138.103,0.61859,1.21174,0.64729,0.94469,0.66091,0.69468,0.72031,0.48269,0.63228,0.66926,0.70945,0.43718,1.43127,3.42382,0.92777,1.46457,8.3496e-05,8.3496e-05,8.3496e-05
15,147.627,0.58445,1.18026,0.62262,0.93611,0.59364,0.72478,0.71747,0.48886,0.58789,0.67011,0.70661,0.43366,1.41307,3.62674,0.93232,1.45513,4.4688e-05,4.4688e-05,4.4688e-05
