epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.533,0.97734,1.69713,1.41467,1.22903,0.44899,0.23161,0.25705,0.16128,0.36915,0.14108,0.12591,0.03458,1.14071,1.40573,0.98076,1.15411,0.00333221,0.00333221,0.00333221
2,543.929,0.60323,1.13101,0.66101,0.98168,0.34919,0.29556,0.27441,0.17703,0.28969,0.21263,0.15753,0.0488,1.0703,1.29279,0.91089,1.13189,0.00644558,0.00644558,0.00644558
3,809.397,0.54821,1.00742,0.58262,0.95316,0.48733,0.29025,0.28597,0.18195,0.43137,0.21401,0.18031,0.06338,1.10733,1.26579,0.90011,1.15848,0.00933895,0.00933895,0.00933895
4,1069.67,0.49017,0.92086,0.49794,0.929,0.41533,0.32311,0.329,0.21501,0.34764,0.25635,0.22098,0.07707,1.08014,1.21827,0.87148,1.13591,0.00901,0.00901,0.00901
5,1329.5,0.42992,0.84385,0.42086,0.90427,0.39047,0.34287,0.32439,0.21262,0.34364,0.27596,0.23834,0.08563,1.10337,1.20732,0.88811,1.1612,0.00868,0.00868,0.00868
6,1588.91,0.39267,0.79633,0.37427,0.88913,0.50253,0.30178,0.33164,0.21846,0.4585,0.24476,0.25027,0.08912,1.09183,1.18508,0.87916,1.16057,0.00835,0.00835,0.00835
7,1841.35,0.3663,0.76153,0.34534,0.87829,0.40218,0.32918,0.32519,0.21727,0.3542,0.26748,0.23901,0.09191,1.07669,1.19168,0.85985,1.1548,0.00802,0.00802,0.00802
8,2093.46,0.3469,0.73441,0.32592,0.87016,0.50296,0.30675,0.3354,0.21805,0.45521,0.25044,0.25126,0.09194,1.10226,1.20602,0.87646,1.17196,0.00769,0.00769,0.00769
9,2344.11,0.33031,0.71486,0.31115,0.86335,0.46299,0.3026,0.33568,0.22387,0.41718,0.25137,0.25063,0.09274,1.10881,1.2283,0.8874,1.17673,0.00736,0.00736,0.00736
10,2601.33,0.31728,0.69665,0.29707,0.85827,0.41516,0.34165,0.33843,0.22319,0.44163,0.23266,0.25562,0.09463,1.09768,1.22864,0.89239,1.17134,0.00703,0.00703,0.00703
11,2854.51,0.30551,0.68016,0.28578,0.85326,0.41043,0.35288,0.34888,0.22806,0.35373,0.29044,0.26414,0.1003,1.11563,1.23813,0.90712,1.18968,0.0067,0.0067,0.0067
12,3105.75,0.29473,0.66642,0.27672,0.84903,0.59971,0.31432,0.35141,0.22975,0.56367,0.25665,0.26966,0.10049,1.1218,1.23527,0.91209,1.1953,0.00637,0.00637,0.00637
13,3356.59,0.28524,0.65391,0.26839,0.84531,0.43077,0.45449,0.39669,0.26288,0.39197,0.39399,0.31523,0.12745,1.10286,1.23394,0.90009,1.18065,0.00604,0.00604,0.00604
14,3612.27,0.27694,0.64281,0.26008,0.84169,0.39632,0.35287,0.37484,0.24564,0.35509,0.29404,0.2849,0.11198,1.11583,1.24297,0.90779,1.19596,0.00571,0.00571,0.00571
15,3865.79,0.26851,0.63177,0.25315,0.83881,0.40005,0.35481,0.35953,0.23398,0.46571,0.24792,0.27256,0.10331,1.11145,1.25404,0.90946,1.1944,0.00538,0.00538,0.00538
16,4060.81,0.26077,0.62279,0.24638,0.83559,0.39942,0.35638,0.36376,0.2401,0.35866,0.29871,0.27606,0.10588,1.11261,1.26329,0.90944,1.19615,0.00505,0.00505,0.00505
17,4198.16,0.25334,0.61286,0.24035,0.83251,0.43754,0.34686,0.3642,0.2387,0.39297,0.29029,0.27498,0.10415,1.1113,1.26951,0.90977,1.19754,0.00472,0.00472,0.00472
18,4335.3,0.2458,0.60205,0.23332,0.82986,0.43979,0.34465,0.35856,0.23653,0.39331,0.28613,0.27001,0.10191,1.11152,1.27514,0.91156,1.1998,0.00439,0.00439,0.00439
19,4471.22,0.23902,0.59311,0.22762,0.82741,0.42698,0.34735,0.35468,0.23493,0.39097,0.29071,0.26454,0.09964,1.11178,1.2792,0.91232,1.20088,0.00406,0.00406,0.00406
20,4607.29,0.23239,0.58418,0.22162,0.82507,0.40209,0.34524,0.35981,0.23921,0.35721,0.28801,0.26802,0.10142,1.11432,1.28384,0.91615,1.20284,0.00373,0.00373,0.00373
21,4744.17,0.2257,0.57641,0.2158,0.82257,0.40504,0.34405,0.35749,0.23742,0.35963,0.28631,0.27572,0.10103,1.11503,1.28858,0.91801,1.2046,0.0034,0.0034,0.0034
22,4880.9,0.21836,0.56705,0.20975,0.81983,0.40592,0.343,0.3613,0.23901,0.36079,0.28515,0.27969,0.10074,1.11535,1.29264,0.91976,1.20619,0.00307,0.00307,0.00307
23,5017.09,0.21205,0.5591,0.20418,0.81782,0.51652,0.3438,0.36328,0.24129,0.46981,0.28514,0.26827,0.10054,1.11616,1.29649,0.92064,1.20813,0.00274,0.00274,0.00274
