epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.394,0.38468,0.43041,0.3415,0.85045,0.44338,0.51212,0.44377,0.35326,0.44185,0.50985,0.44217,0.28694,0.81269,1.16551,15.3455,1.27465,3.93267e-05,3.93267e-05,3.93267e-05
2,523.234,0.31988,0.34327,0.29393,0.82922,0.51813,0.48872,0.3952,0.32462,0.51615,0.48623,0.39263,0.23907,0.7729,1.14979,15.5472,1.23968,7.08727e-05,7.08727e-05,7.08727e-05
3,797.728,0.30332,0.32149,0.28102,0.82397,0.46341,0.49315,0.40981,0.33846,0.46188,0.49095,0.40776,0.24854,0.76864,1.20608,16.4322,1.26603,9.46307e-05,9.46307e-05,9.46307e-05
4,1054.58,0.28945,0.30448,0.27009,0.81986,0.60992,0.33253,0.34121,0.28865,0.60798,0.33032,0.33861,0.20523,0.75662,1.23292,16.7951,1.26044,8.2954e-05,8.2954e-05,8.2954e-05
5,1353.24,0.27572,0.28962,0.25811,0.81586,0.67547,0.43669,0.47431,0.38207,0.67376,0.43498,0.47214,0.28183,0.74956,1.30915,16.7657,1.26147,7.1272e-05,7.1272e-05,7.1272e-05
6,1601.64,0.26482,0.277,0.24876,0.81284,0.56058,0.46587,0.40743,0.33914,0.55849,0.46338,0.40472,0.24863,0.74747,1.35451,16.6201,1.27188,5.959e-05,5.959e-05,5.959e-05
7,1848.13,0.25511,0.26577,0.23969,0.8098,0.5393,0.47506,0.39977,0.32964,0.53757,0.47299,0.39735,0.24194,0.74724,1.36894,17.5769,1.2785,4.7908e-05,4.7908e-05,4.7908e-05
8,2090.11,0.24604,0.25625,0.23153,0.80748,0.51388,0.46201,0.39748,0.3223,0.51205,0.45995,0.39479,0.23183,0.74612,1.4163,17.6381,1.28778,3.6226e-05,3.6226e-05,3.6226e-05
9,2333.3,0.23915,0.24855,0.22543,0.80568,0.62163,0.43676,0.47253,0.38186,0.61954,0.43455,0.46977,0.28704,0.75026,1.44377,18.0455,1.3024,2.4544e-05,2.4544e-05,2.4544e-05
10,2575.77,0.2328,0.24212,0.2198,0.80395,0.6163,0.42319,0.47244,0.38266,0.61418,0.42105,0.46948,0.27064,0.74971,1.48367,18.3198,1.29863,1.2862e-05,1.2862e-05,1.2862e-05
1,256.737,0.33169,0.40272,0.2966,0.83595,0.60509,0.43011,0.59741,0.52197,0.5045,0.34761,0.50947,0.31569,1.14316,2.69765,1.07709,1.23992,3.93267e-05,3.93267e-05,3.93267e-05
2,497.055,0.26842,0.3061,0.24804,0.81477,0.66482,0.38353,0.50221,0.41651,0.56121,0.30597,0.41425,0.27152,1.1636,2.81301,1.07987,1.26336,6.30854e-05,6.30854e-05,6.30854e-05
3,733.968,0.25585,0.28746,0.23835,0.81126,0.62339,0.42547,0.52883,0.43738,0.52559,0.34368,0.44082,0.27485,1.16786,2.89014,1.10168,1.27115,7.1268e-05,7.1268e-05,7.1268e-05
4,967.952,0.24354,0.27156,0.22847,0.80794,0.56293,0.41392,0.46456,0.38752,0.4611,0.33412,0.37629,0.22863,1.16221,2.9635,1.0859,1.27075,4.7908e-05,4.7908e-05,4.7908e-05
