epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82728,1.61422,1.75001,1.56798,1.88911,0.49544,0.35838,0.39292,0.24069,0.48497,0.3038,0.2921,0.11946,1.83677,1.79145,1.96584,1.76184,2.95e-05,2.95e-05,2.95e-05
2,5.24763,1.34745,1.39568,1.23095,1.58384,0.57196,0.44515,0.46791,0.27759,0.43469,0.32607,0.27931,0.11319,1.77504,1.45377,1.49505,1.67551,5.72011e-05,5.72011e-05,5.72011e-05
3,6.63888,1.14833,1.10246,0.99915,1.39684,0.6318,0.48312,0.54256,0.32535,0.67714,0.31224,0.3319,0.1263,1.71746,1.21976,1.33634,1.603,8.18649e-05,8.18649e-05,8.18649e-05
4,8.02066,1.01237,0.94671,0.88077,1.26965,0.7761,0.43147,0.57,0.34603,0.7386,0.34574,0.38361,0.14327,1.68885,1.1326,1.30511,1.5551,0.000100477,0.000100477,0.000100477
5,9.56082,0.93582,0.85421,0.8213,1.2136,0.67267,0.49156,0.5885,0.36538,0.76961,0.3481,0.39622,0.15795,1.65624,1.05457,1.27009,1.5041,9.4636e-05,9.4636e-05,9.4636e-05
6,10.9702,0.87178,0.78663,0.79672,1.16104,0.75717,0.49578,0.61143,0.38186,0.75664,0.34177,0.4154,0.17824,1.63181,0.97146,1.2228,1.47017,8.8795e-05,8.8795e-05,8.8795e-05
7,12.365,0.80411,0.71624,0.74765,1.11459,0.79289,0.49269,0.62151,0.38913,0.66375,0.38608,0.43736,0.1878,1.60819,0.9282,1.17821,1.44965,8.2954e-05,8.2954e-05,8.2954e-05
8,13.7374,0.76946,0.6918,0.71513,1.0977,0.77616,0.51266,0.6316,0.40266,0.76193,0.35865,0.45012,0.1972,1.59025,0.88961,1.16468,1.4402,7.7113e-05,7.7113e-05,7.7113e-05
9,15.1413,0.72835,0.63499,0.68498,1.07327,0.78993,0.51266,0.63271,0.40974,0.79472,0.36755,0.4724,0.20566,1.5654,0.85881,1.14966,1.41764,7.1272e-05,7.1272e-05,7.1272e-05
10,16.5472,0.69736,0.62934,0.67216,1.06543,0.7863,0.52954,0.64383,0.42118,0.76647,0.41772,0.50443,0.22293,1.54805,0.83065,1.12604,1.40002,6.5431e-05,6.5431e-05,6.5431e-05
11,18.1847,0.66029,0.58843,0.64137,1.04473,0.83381,0.51899,0.65629,0.42948,0.77633,0.4346,0.52747,0.23018,1.54506,0.81048,1.10399,1.39396,5.959e-05,5.959e-05,5.959e-05
12,19.6281,0.63532,0.57766,0.61714,1.03639,0.85436,0.51978,0.66426,0.43142,0.78519,0.43955,0.53103,0.23321,1.54067,0.79985,1.08831,1.39182,5.3749e-05,5.3749e-05,5.3749e-05
13,21.0205,0.60282,0.56586,0.59997,1.02797,0.87127,0.52321,0.66914,0.43837,0.77484,0.44304,0.5351,0.23414,1.53657,0.7907,1.08192,1.38897,4.7908e-05,4.7908e-05,4.7908e-05
14,22.43,0.58064,0.54134,0.58353,1.01523,0.84479,0.52954,0.67145,0.44404,0.79998,0.44726,0.5475,0.23973,1.52303,0.77437,1.07983,1.37588,4.2067e-05,4.2067e-05,4.2067e-05
15,23.9991,0.56831,0.5332,0.57172,1.01407,0.81928,0.54852,0.67193,0.44428,0.79539,0.44515,0.55038,0.2412,1.51939,0.76641,1.08454,1.37071,3.6226e-05,3.6226e-05,3.6226e-05
16,25.3946,0.55174,0.52556,0.56783,1.00701,0.82095,0.54852,0.67533,0.44756,0.69826,0.49156,0.55826,0.24516,1.51983,0.75989,1.08273,1.3714,3.0385e-05,3.0385e-05,3.0385e-05
17,26.7842,0.5293,0.51561,0.55245,0.9973,0.83217,0.55696,0.67729,0.45079,0.73012,0.48945,0.55889,0.24578,1.51364,0.75398,1.08021,1.36929,2.4544e-05,2.4544e-05,2.4544e-05
18,28.2332,0.54179,0.51106,0.55523,0.99815,0.83116,0.56081,0.67968,0.45147,0.74239,0.49156,0.5662,0.24672,1.51393,0.75129,1.07943,1.37051,1.8703e-05,1.8703e-05,1.8703e-05
19,29.6271,0.52675,0.50248,0.53839,0.99204,0.8332,0.56118,0.68146,0.45334,0.74222,0.49367,0.564,0.24636,1.51232,0.74968,1.07398,1.36924,1.2862e-05,1.2862e-05,1.2862e-05
20,31.0502,0.53357,0.50969,0.54454,0.9957,0.82986,0.55565,0.68134,0.45318,0.73248,0.48945,0.55779,0.24577,1.51306,0.74621,1.07551,1.36827,7.021e-06,7.021e-06,7.021e-06
