epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0605,0.97963,1.65119,0.97168,1.07634,0.66811,0.45071,0.48765,0.34135,0.70973,0.48056,0.53172,0.27306,1.49961,3.0747,1.07352,1.53085,0.000195173,0.000195173,0.000195173
2,29.3219,0.98519,1.59517,0.94225,1.07239,0.59673,0.60648,0.61055,0.42351,0.61019,0.61812,0.62546,0.36557,1.45609,3.50951,0.89853,1.51839,0.000383428,0.000383428,0.000383428
3,42.5175,1.01368,1.60749,0.95006,1.08195,0.5717,0.66896,0.61719,0.38106,0.5717,0.66896,0.62036,0.31242,1.47586,3.17237,1.09657,1.51957,0.000563921,0.000563921,0.000563921
4,55.5894,0.99738,1.5692,0.92211,1.07406,0.48302,0.69627,0.59521,0.38087,0.4838,0.69048,0.59231,0.30008,1.41188,2.91718,1.14717,1.39953,0.000553073,0.000553073,0.000553073
5,68.6425,0.95076,1.48397,0.87446,1.05194,0.725,0.54488,0.69541,0.43936,0.74844,0.55628,0.73001,0.40918,1.4806,3.60273,1.08372,1.46868,0.00054143,0.00054143,0.00054143
6,81.6832,0.9065,1.43196,0.81971,1.03211,0.61131,0.72975,0.717,0.45202,0.60364,0.71963,0.71066,0.42356,1.41782,3.39205,0.90987,1.43421,0.000529788,0.000529788,0.000529788
7,94.7644,0.86748,1.37004,0.78262,1.01497,0.5555,0.63758,0.63359,0.40837,0.58216,0.64496,0.64697,0.33338,1.44865,4.65968,0.94274,1.43332,0.000518146,0.000518146,0.000518146
8,107.937,0.83384,1.31807,0.74251,1.00216,0.69413,0.53184,0.61625,0.41498,0.69413,0.53184,0.6301,0.38723,1.3778,3.60611,0.94493,1.36568,0.000506503,0.000506503,0.000506503
9,121.352,0.79517,1.26318,0.70695,0.98616,0.60098,0.59785,0.62047,0.43683,0.6264,0.61629,0.63476,0.36722,1.4274,4.24951,0.86554,1.49478,0.000494861,0.000494861,0.000494861
10,134.672,0.76145,1.20433,0.67182,0.97523,0.58762,0.601,0.60881,0.43482,0.65716,0.57387,0.63475,0.34859,1.46239,3.95268,0.93357,1.56385,0.000483218,0.000483218,0.000483218
11,147.426,0.7272,1.17465,0.64015,0.96145,0.67854,0.57742,0.62903,0.44742,0.7032,0.5998,0.63362,0.36175,1.49378,4.38341,0.91408,1.53208,0.000471576,0.000471576,0.000471576
12,160.752,0.71018,1.13031,0.61695,0.9526,0.70097,0.5347,0.62715,0.43017,0.70097,0.5347,0.62606,0.36,1.3861,5.38628,1.08349,1.49937,0.000459934,0.000459934,0.000459934
13,173.323,0.68063,1.09434,0.59422,0.9441,0.58711,0.60316,0.59472,0.41529,0.62781,0.64483,0.61451,0.34553,1.39644,4.5849,0.96438,1.49821,0.000448291,0.000448291,0.000448291
14,186.36,0.65292,1.04493,0.56512,0.9332,0.58968,0.53026,0.60837,0.41512,0.58968,0.53026,0.60837,0.35213,1.45665,5.00886,1.03271,1.51489,0.000436649,0.000436649,0.000436649
15,199.208,0.63525,1.02074,0.5506,0.92671,0.65952,0.60468,0.64676,0.45637,0.6386,0.59191,0.62133,0.37481,1.4239,4.77274,0.92205,1.47997,0.000425006,0.000425006,0.000425006
