epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2627,1.55855,2.74448,2.41774,1.40129,0.81217,0.29928,0.35911,0.26045,0.79852,0.27862,0.31966,0.19498,1.23034,2.36967,1.89103,1.29495,0.00019518,0.00019518,0.00019518
2,27.2711,1.31118,2.14315,1.41659,1.24961,0.76575,0.48995,0.49585,0.34395,0.77462,0.49342,0.54405,0.2998,1.49078,2.51201,1.45719,1.47838,0.000365362,0.000365362,0.000365362
3,39.2009,1.22266,2.00239,1.27719,1.19919,0.84048,0.4679,0.57266,0.35712,0.828,0.45806,0.56749,0.3252,1.46883,2.84476,1.3137,1.38501,0.000509672,0.000509672,0.000509672
4,50.7595,1.15374,1.87802,1.1874,1.16503,0.81812,0.46247,0.51827,0.35949,0.82337,0.46709,0.53234,0.30806,1.53521,2.59331,1.23578,1.52021,0.000471576,0.000471576,0.000471576
5,62.8487,1.08081,1.77149,1.0943,1.12798,0.70054,0.4654,0.57585,0.39655,0.72241,0.4835,0.59831,0.36299,1.50717,2.74821,1.26666,1.40421,0.000432768,0.000432768,0.000432768
6,75.2236,1.01569,1.6901,1.0295,1.1012,0.59604,0.67807,0.68701,0.46327,0.60129,0.67344,0.69804,0.45156,1.4982,2.99351,1.18185,1.42364,0.00039396,0.00039396,0.00039396
7,87.5311,0.95104,1.61211,0.95728,1.07199,0.58004,0.66551,0.65415,0.45764,0.59614,0.6794,0.67581,0.39941,1.44281,3.07146,0.98823,1.4611,0.000355152,0.000355152,0.000355152
8,99.432,0.89741,1.54741,0.90054,1.04939,0.729,0.57987,0.60953,0.39121,0.71843,0.62345,0.63257,0.37141,1.47453,2.98335,1.07679,1.43556,0.000316344,0.000316344,0.000316344
9,111.61,0.84581,1.48705,0.84813,1.02821,0.743,0.56086,0.61993,0.41772,0.67862,0.60445,0.65416,0.39307,1.43257,2.96085,1.06652,1.43549,0.000277536,0.000277536,0.000277536
10,123.537,0.79581,1.43142,0.80403,1.00847,0.77942,0.60982,0.6358,0.42895,0.79824,0.6237,0.66464,0.40943,1.43358,3.29529,0.96936,1.43102,0.000238728,0.000238728,0.000238728
11,135.523,0.74927,1.3797,0.76017,0.99133,0.67561,0.54389,0.60493,0.41826,0.70594,0.57583,0.62871,0.41414,1.41736,3.88606,0.99996,1.45428,0.00019992,0.00019992,0.00019992
12,147.67,0.7047,1.33507,0.72692,0.97815,0.74366,0.57458,0.62799,0.43109,0.76242,0.58838,0.65333,0.40762,1.43716,3.39742,1.01359,1.43181,0.000161112,0.000161112,0.000161112
13,159.215,0.66529,1.29463,0.69344,0.96578,0.61733,0.67454,0.67765,0.48041,0.64624,0.69306,0.71677,0.4607,1.43798,3.44988,1.00139,1.41378,0.000122304,0.000122304,0.000122304
14,170.603,0.62696,1.25667,0.66479,0.95473,0.65209,0.68601,0.63904,0.44469,0.66351,0.69353,0.65955,0.42611,1.41851,3.79583,0.97268,1.39273,8.3496e-05,8.3496e-05,8.3496e-05
15,182.667,0.59428,1.23057,0.64185,0.94672,0.66109,0.67824,0.68632,0.49084,0.67588,0.6875,0.70554,0.45652,1.40509,3.70155,0.95057,1.39438,4.4688e-05,4.4688e-05,4.4688e-05
1,17.6873,1.4754,2.68347,2.42869,1.35298,0.9409,0.29448,0.34613,0.26015,0.92977,0.28467,0.33227,0.1896,1.18262,2.3953,1.99645,1.26908,0.000174705,0.000174705,0.000174705
2,31.6531,1.21404,2.02655,1.3595,1.20006,0.70421,0.50319,0.47172,0.33734,0.71494,0.51165,0.48365,0.28542,1.46745,2.49664,1.40488,1.46744,0.000326936,0.000326936,0.000326936
3,45.7638,1.11543,1.85057,1.19043,1.14907,0.70268,0.46621,0.45926,0.32792,0.72477,0.48473,0.49801,0.29379,1.44995,2.59674,1.39249,1.48681,0.000456023,0.000456023,0.000456023
4,59.6192,1.03888,1.71344,1.07861,1.11075,0.6878,0.45753,0.45863,0.33865,0.7152,0.48,0.47347,0.29396,1.46825,2.42936,1.41276,1.54737,0.000421852,0.000421852,0.000421852
5,73.8439,0.95984,1.59092,0.9804,1.07579,0.83325,0.39462,0.4838,0.35466,0.84075,0.39891,0.50416,0.31625,1.46404,3.37124,1.3356,1.44248,0.000387136,0.000387136,0.000387136
6,89.8818,0.89992,1.502,0.909,1.05046,0.77933,0.47391,0.57386,0.37934,0.80642,0.49243,0.59542,0.34573,1.46426,2.62799,1.24622,1.48144,0.00035242,0.00035242,0.00035242
7,104.124,0.83987,1.42033,0.84638,1.02579,0.7489,0.50483,0.56154,0.41717,0.78336,0.53684,0.61084,0.35062,1.43356,3.56408,1.4193,1.47398,0.000317704,0.000317704,0.000317704
8,117.842,0.792,1.35537,0.79274,1.00634,0.76392,0.462,0.53003,0.39487,0.78822,0.47299,0.59394,0.34305,1.36716,3.29356,1.1467,1.39619,0.000282988,0.000282988,0.000282988
9,131.414,0.74552,1.29967,0.74525,0.98827,0.75714,0.48824,0.62278,0.46383,0.78572,0.51083,0.65537,0.37273,1.47586,3.69923,1.28652,1.49692,0.000248272,0.000248272,0.000248272
10,145.557,0.70661,1.24952,0.70846,0.97459,0.77457,0.44884,0.62416,0.43273,0.79658,0.46196,0.63892,0.40849,1.45296,3.31169,1.17592,1.52804,0.000213556,0.000213556,0.000213556
11,159.928,0.66326,1.20239,0.66912,0.95969,0.4877,0.59523,0.62196,0.45888,0.49706,0.60448,0.63325,0.37467,1.42348,3.39819,1.27095,1.50007,0.00017884,0.00017884,0.00017884
12,174.293,0.62776,1.16799,0.64205,0.95056,0.47118,0.59954,0.63575,0.44425,0.48546,0.61343,0.64719,0.38659,1.41041,3.72966,1.19802,1.44535,0.000144124,0.000144124,0.000144124
13,188.417,0.59005,1.12457,0.61105,0.93837,0.44515,0.63928,0.61234,0.45282,0.7006,0.58498,0.6207,0.36781,1.38182,3.70266,1.17486,1.45202,0.000109408,0.000109408,0.000109408
14,202.295,0.56101,1.09645,0.58834,0.93063,0.4622,0.63587,0.6413,0.46094,0.70791,0.59491,0.63904,0.37177,1.43112,3.86544,1.19418,1.4695,7.4692e-05,7.4692e-05,7.4692e-05
15,216.881,0.53194,1.07073,0.56974,0.92411,0.56911,0.63804,0.64253,0.46948,0.72465,0.59307,0.64249,0.37519,1.40711,3.89994,1.2112,1.45005,3.9976e-05,3.9976e-05,3.9976e-05
