epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4278,1.2261,2.26813,1.53677,1.29967,0.52689,0.56784,0.55436,0.38226,0.53137,0.57247,0.55606,0.32607,1.48479,2.01327,1.31355,2.29848,0.00332761,0.00332761,0.00332761
2,124.532,0.97937,1.57194,0.93078,1.12441,0.51911,0.77083,0.71387,0.52921,0.54039,0.79398,0.73234,0.44322,1.36915,2.28194,1.36021,2.00588,0.00663896,0.00663896,0.00663896
3,182.985,0.97385,1.49675,0.89726,1.11639,0.34147,0.62157,0.57387,0.418,0.36653,0.67582,0.59,0.33207,1.36036,2.63842,1.55558,1.91599,0.00992831,0.00992831,0.00992831
4,240.865,0.99406,1.51712,0.89737,1.12731,0.65549,0.68288,0.67658,0.49645,0.68482,0.71529,0.70828,0.40012,1.44044,3.28042,1.71529,2.1568,0.009901,0.009901,0.009901
5,298.773,0.93961,1.39771,0.82984,1.10187,0.66569,0.5882,0.67123,0.50699,0.67451,0.59746,0.68396,0.43093,1.38151,3.15307,0.99668,1.99483,0.009868,0.009868,0.009868
6,356.856,0.87959,1.28019,0.76835,1.07173,0.63385,0.65972,0.62577,0.45969,0.63844,0.66435,0.70674,0.39367,1.43068,4.24886,1.31314,2.11267,0.009835,0.009835,0.009835
7,414.846,0.8319,1.20342,0.71637,1.04815,0.66168,0.66032,0.6783,0.46179,0.76467,0.5986,0.67412,0.40002,1.3437,3.95008,1.07271,2.05786,0.009802,0.009802,0.009802
8,472.86,0.78096,1.1203,0.66561,1.02473,0.63058,0.60996,0.6048,0.45765,0.6425,0.62152,0.5949,0.38828,1.41915,5.69037,1.37529,2.36539,0.009769,0.009769,0.009769
9,531.06,0.73437,1.03004,0.61854,1.003,0.6034,0.60804,0.68985,0.50725,0.61649,0.62152,0.70981,0.43372,1.37804,4.31671,1.14078,2.29906,0.009736,0.009736,0.009736
10,589.123,0.7005,0.95898,0.5799,0.98574,0.66334,0.6144,0.69188,0.48569,0.66236,0.61343,0.64493,0.4077,1.41495,5.28198,1.16396,2.44538,0.009703,0.009703,0.009703
11,647.142,0.6617,0.88724,0.5411,0.9671,0.74176,0.62176,0.66973,0.4711,0.73395,0.60715,0.64881,0.39784,1.40291,4.3955,1.04122,2.21671,0.00967,0.00967,0.00967
12,705.592,0.62697,0.85045,0.50843,0.95238,0.75801,0.59749,0.65811,0.48513,0.77191,0.61089,0.66677,0.45343,1.45003,5.56116,1.17653,2.37342,0.009637,0.009637,0.009637
13,763.781,0.59903,0.79706,0.47995,0.9356,0.67297,0.65617,0.64787,0.46756,0.67648,0.65002,0.63787,0.41487,1.39615,5.72387,0.89155,2.27777,0.009604,0.009604,0.009604
14,821.916,0.5751,0.74971,0.45432,0.92774,0.57,0.65931,0.64852,0.46565,0.52331,0.65562,0.63146,0.41387,1.39441,6.67226,1.10902,2.35294,0.009571,0.009571,0.009571
15,880.35,0.55346,0.71162,0.43858,0.9176,0.68363,0.61659,0.71057,0.50021,0.69273,0.62584,0.68931,0.4318,1.38733,6.13321,1.0495,2.15332,0.009538,0.009538,0.009538
16,938.585,0.53399,0.67507,0.41997,0.91004,0.63045,0.67434,0.73341,0.5526,0.62085,0.67824,0.73226,0.46829,1.50318,7.13792,1.19171,2.74726,0.009505,0.009505,0.009505
17,997.118,0.51096,0.6338,0.39672,0.89847,0.76352,0.58368,0.66249,0.50823,0.78178,0.6022,0.75816,0.45417,1.47888,6.18086,1.10613,2.68672,0.009472,0.009472,0.009472
18,1055.21,0.4952,0.59988,0.38166,0.89141,0.79293,0.59568,0.62706,0.46413,0.79915,0.60017,0.62046,0.42333,1.37128,6.09153,1.04404,2.47554,0.009439,0.009439,0.009439
19,1113.4,0.47615,0.56323,0.36885,0.8824,0.79017,0.56626,0.68621,0.50256,0.79017,0.56626,0.66124,0.43606,1.43064,7.73033,1.14575,2.61614,0.009406,0.009406,0.009406
20,1171.78,0.46062,0.54794,0.35564,0.87812,0.68998,0.62269,0.69587,0.51192,0.73769,0.58916,0.6398,0.44955,1.30167,7.4407,1.16312,2.25299,0.009373,0.009373,0.009373
21,1230,0.44728,0.52132,0.34358,0.87285,0.70994,0.62505,0.6707,0.476,0.70994,0.62505,0.66018,0.42086,1.41589,6.41423,1.11549,2.31872,0.00934,0.00934,0.00934
22,1288.38,0.43611,0.50629,0.33641,0.87046,0.70423,0.62089,0.64824,0.48756,0.69698,0.61626,0.63107,0.43305,1.40401,7.39429,1.23191,2.56883,0.009307,0.009307,0.009307
23,1346.66,0.4237,0.45725,0.32305,0.86333,0.63539,0.62736,0.65545,0.49172,0.65214,0.64588,0.66767,0.43919,1.38216,9.13805,1.20303,2.58648,0.009274,0.009274,0.009274
24,1404.88,0.41157,0.44624,0.31312,0.85848,0.58236,0.6327,0.62748,0.47867,0.60107,0.60752,0.69192,0.42471,1.40673,6.90449,1.09973,2.58289,0.009241,0.009241,0.009241
25,1463.47,0.40222,0.42825,0.30954,0.85595,0.715,0.66435,0.69898,0.51342,0.57023,0.75218,0.74851,0.4752,1.39605,7.73463,1.0957,2.63788,0.009208,0.009208,0.009208
26,1521.86,0.39168,0.40041,0.29926,0.85143,0.76271,0.58907,0.62498,0.46862,0.77857,0.60279,0.64292,0.41813,1.41904,9.771,1.0995,2.8202,0.009175,0.009175,0.009175
27,1580.19,0.38451,0.39067,0.29635,0.85012,0.78792,0.59717,0.69144,0.5018,0.79703,0.60643,0.71119,0.463,1.43906,8.24205,1.15835,2.82973,0.009142,0.009142,0.009142
28,1638.81,0.3745,0.36981,0.28835,0.84668,0.72728,0.62269,0.66577,0.4982,0.73616,0.63194,0.66251,0.4228,1.41919,8.15067,1.10835,2.77918,0.009109,0.009109,0.009109
29,1697.11,0.36984,0.36356,0.28466,0.84469,0.61469,0.66435,0.6821,0.49245,0.61469,0.66435,0.67519,0.45124,1.45544,7.93672,1.13811,2.81732,0.009076,0.009076,0.009076
30,1755.36,0.35913,0.33351,0.27768,0.84077,0.75898,0.58804,0.68724,0.49562,0.77344,0.60193,0.68614,0.42348,1.41298,6.95724,1.25765,2.78893,0.009043,0.009043,0.009043
31,1813.92,0.3512,0.32403,0.27007,0.83905,0.71835,0.61293,0.61406,0.49198,0.73051,0.62219,0.61993,0.43218,1.40331,9.15375,1.20132,2.76965,0.00901,0.00901,0.00901
32,1872.34,0.34924,0.32594,0.27584,0.84174,0.74644,0.62037,0.65087,0.49435,0.76726,0.63893,0.67241,0.4268,1.39031,8.41553,1.07802,2.68672,0.008977,0.008977,0.008977
33,1930.61,0.3411,0.30388,0.2619,0.83562,0.81348,0.59907,0.68025,0.51564,0.83665,0.62246,0.68077,0.44806,1.42285,7.20727,1.0587,2.71868,0.008944,0.008944,0.008944
34,1989.23,0.3334,0.28365,0.25728,0.83364,0.7007,0.6664,0.66826,0.50433,0.7007,0.6664,0.66826,0.43348,1.3598,9.39477,1.28064,2.61722,0.008911,0.008911,0.008911
35,2047.65,0.3274,0.27636,0.25466,0.83177,0.6268,0.65972,0.67838,0.51504,0.63572,0.66898,0.68326,0.46068,1.37113,9.92225,1.10439,2.61798,0.008878,0.008878,0.008878
36,2106.09,0.32252,0.27017,0.25122,0.83111,0.7569,0.60783,0.63639,0.49383,0.77158,0.62172,0.6477,0.42528,1.38822,7.83714,1.14677,2.75172,0.008845,0.008845,0.008845
37,2164.39,0.3154,0.25277,0.24709,0.82946,0.80437,0.59784,0.70845,0.51081,0.81354,0.6071,0.69088,0.44642,1.37765,9.32813,1.12699,2.58516,0.008812,0.008812,0.008812
38,2222.71,0.30881,0.24074,0.24439,0.82763,0.80238,0.59077,0.74326,0.52882,0.8029,0.59257,0.6353,0.42988,1.36768,8.68396,0.97473,2.65905,0.008779,0.008779,0.008779
39,2281.23,0.30947,0.23887,0.24361,0.82779,0.71077,0.62731,0.6573,0.50223,0.72878,0.64583,0.67606,0.43838,1.39479,10.2032,1.17914,2.71464,0.008746,0.008746,0.008746
40,2339.61,0.30143,0.21398,0.23695,0.82489,0.79176,0.5947,0.6568,0.4808,0.8009,0.60396,0.66789,0.4354,1.37344,10.6571,1.12055,2.85362,0.008713,0.008713,0.008713
41,2398.09,0.30033,0.2218,0.237,0.82477,0.71727,0.62262,0.67069,0.50162,0.74046,0.64577,0.63841,0.44309,1.41697,9.25339,1.07941,2.80934,0.00868,0.00868,0.00868
42,2456.69,0.29475,0.21403,0.23274,0.8236,0.64068,0.67746,0.70109,0.49949,0.70343,0.62438,0.65666,0.44243,1.39623,11.338,1.31683,2.82665,0.008647,0.008647,0.008647
43,2514.95,0.29133,0.22057,0.23182,0.82348,0.73034,0.62432,0.66752,0.4872,0.74483,0.6382,0.67775,0.43997,1.42269,10.8669,1.11687,2.8016,0.008614,0.008614,0.008614
44,2573.29,0.28611,0.209,0.2283,0.82157,0.71718,0.62345,0.66253,0.51021,0.71718,0.62345,0.66253,0.45309,1.41447,9.72311,1.09339,2.96798,0.008581,0.008581,0.008581
45,2632,0.28522,0.19733,0.2256,0.82092,0.64907,0.661,0.78094,0.54559,0.65781,0.67026,0.78446,0.48503,1.36877,10.4644,1.07271,2.86704,0.008548,0.008548,0.008548
46,2690.51,0.28307,0.18681,0.22402,0.82058,0.79138,0.59852,0.66794,0.5123,0.80057,0.60778,0.66936,0.44912,1.35816,10.7024,1.06054,2.75212,0.008515,0.008515,0.008515
47,2748.93,0.27989,0.18,0.22202,0.81973,0.7703,0.63154,0.67989,0.51888,0.77936,0.6408,0.68784,0.43979,1.35622,12.9425,1.10435,2.75319,0.008482,0.008482,0.008482
48,2807.21,0.27269,0.17586,0.21874,0.81866,0.7531,0.61305,0.67912,0.50786,0.74987,0.6109,0.6578,0.43423,1.36304,11.2425,1.0788,2.69375,0.008449,0.008449,0.008449
