epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.047,1.22763,2.1928,1.44285,1.25627,0.56573,0.54554,0.56838,0.4093,0.5726,0.5548,0.58529,0.34183,1.54988,4.00818,1.40522,1.94866,0.000174705,0.000174705,0.000174705
1,40.3474,1.22763,2.1928,1.44285,1.25627,0.56573,0.54554,0.56838,0.4093,0.5726,0.5548,0.58529,0.34183,1.54988,4.00818,1.40522,1.94866,0.000174705,0.000174705,0.000174705
2,77.0695,1.06857,1.70818,1.01798,1.14881,0.60148,0.57639,0.61626,0.42339,0.59782,0.56597,0.59226,0.35931,1.44115,2.60538,1.55399,1.91717,0.000346573,0.000346573,0.000346573
3,113.292,1.01611,1.59668,0.94667,1.12385,0.64367,0.45675,0.48305,0.37352,0.65944,0.47064,0.52567,0.29271,1.48899,4.26879,1.74448,1.85551,0.000514969,0.000514969,0.000514969
4,149.268,0.95152,1.46817,0.87132,1.09519,0.50911,0.60728,0.62471,0.44857,0.51408,0.60613,0.61503,0.36439,1.53036,3.01113,1.76863,2.01179,0.000510378,0.000510378,0.000510378
5,185.59,0.86521,1.33759,0.78095,1.05526,0.60726,0.64212,0.63928,0.44988,0.61755,0.6699,0.66491,0.3989,1.47967,4.40348,1.51551,2.05777,0.00050517,0.00050517,0.00050517
6,221.72,0.80709,1.21353,0.71371,1.02734,0.67472,0.57814,0.64042,0.47952,0.71296,0.60488,0.67435,0.40248,1.42321,5.02513,1.20846,2.00639,0.000499963,0.000499963,0.000499963
7,257.824,0.75184,1.13109,0.64961,1.00014,0.49408,0.60093,0.61582,0.45166,0.51387,0.62408,0.64753,0.37449,1.4365,4.48307,1.17965,2.23979,0.000494756,0.000494756,0.000494756
8,293.802,0.70012,1.03865,0.59691,0.97788,0.75451,0.56578,0.6094,0.44873,0.7592,0.573,0.69909,0.3848,1.54325,5.16419,1.21114,2.078,0.000489548,0.000489548,0.000489548
9,329.756,0.65128,0.96893,0.55249,0.95875,0.62452,0.63997,0.63072,0.49323,0.63653,0.68273,0.67808,0.42184,1.53919,6.12515,0.97786,2.29126,0.000484341,0.000484341,0.000484341
10,366.007,0.62276,0.91352,0.51825,0.94457,0.7517,0.6999,0.72211,0.52699,0.74638,0.68299,0.73854,0.44818,1.35761,4.24881,0.93569,1.96509,0.000479133,0.000479133,0.000479133
11,402.123,0.58374,0.84798,0.48499,0.92861,0.59553,0.7223,0.69069,0.4632,0.56774,0.71746,0.65863,0.37761,1.3775,4.05104,0.97725,2.1701,0.000473926,0.000473926,0.000473926
12,438.135,0.55213,0.79034,0.45574,0.91551,0.69238,0.7172,0.75736,0.52365,0.65568,0.68942,0.72325,0.46133,1.42426,6.46246,1.0757,2.16075,0.000468719,0.000468719,0.000468719
13,474.318,0.53306,0.75239,0.43576,0.90685,0.66951,0.61394,0.673,0.49457,0.65316,0.60304,0.65979,0.43648,1.42069,7.38554,1.17771,2.14816,0.000463511,0.000463511,0.000463511
14,510.492,0.50425,0.70155,0.40317,0.89571,0.74067,0.64075,0.75403,0.51128,0.66857,0.62377,0.74101,0.41188,1.44938,6.51118,0.97421,2.07839,0.000458304,0.000458304,0.000458304
15,546.573,0.47682,0.64968,0.38198,0.88492,0.718,0.70139,0.78247,0.51988,0.65768,0.66155,0.76982,0.48219,1.39148,6.57536,0.88878,2.17943,0.000453096,0.000453096,0.000453096
16,582.748,0.45821,0.61882,0.36618,0.87818,0.68356,0.61152,0.68554,0.5061,0.74318,0.57592,0.64518,0.41109,1.43592,7.32372,0.93754,2.25568,0.000447889,0.000447889,0.000447889
17,618.872,0.43965,0.58453,0.34868,0.87127,0.75145,0.65509,0.67837,0.51893,0.73103,0.6413,0.7222,0.45307,1.38125,6.66652,0.9975,2.1244,0.000442682,0.000442682,0.000442682
18,655.048,0.4223,0.54569,0.33498,0.86396,0.70249,0.6537,0.67146,0.51105,0.66541,0.62713,0.65031,0.42542,1.43517,7.75533,0.95446,2.31571,0.000437474,0.000437474,0.000437474
19,691.14,0.40623,0.51815,0.32544,0.85966,0.72022,0.64603,0.68429,0.50434,0.74237,0.59361,0.65574,0.40895,1.39624,7.35775,1.00858,2.26687,0.000432267,0.000432267,0.000432267
20,727.189,0.39425,0.4913,0.31504,0.85596,0.71962,0.60403,0.68544,0.50574,0.79478,0.56499,0.65588,0.41928,1.32197,7.77649,1.05147,2.17553,0.000427059,0.000427059,0.000427059
21,763.269,0.38488,0.47777,0.3055,0.85245,0.72709,0.58351,0.65101,0.48435,0.76205,0.6088,0.62364,0.41245,1.39147,7.8525,1.14543,2.38029,0.000421852,0.000421852,0.000421852
22,799.556,0.37064,0.4513,0.29782,0.84858,0.73491,0.58825,0.63644,0.48245,0.73763,0.59067,0.64219,0.40524,1.34356,7.43993,1.04303,2.19314,0.000416645,0.000416645,0.000416645
23,835.661,0.35992,0.4367,0.28907,0.8456,0.56945,0.73141,0.73931,0.5035,0.50336,0.68287,0.72191,0.42903,1.37075,7.43786,1.19391,2.17048,0.000411437,0.000411437,0.000411437
24,871.715,0.34437,0.39705,0.2755,0.83967,0.77777,0.61536,0.63434,0.51255,0.78367,0.61999,0.62454,0.43756,1.38436,9.89964,0.86332,2.33547,0.00040623,0.00040623,0.00040623
25,907.877,0.33272,0.37148,0.2696,0.83662,0.5222,0.71227,0.69454,0.50135,0.58504,0.68625,0.71986,0.45022,1.38629,8.87978,0.83914,2.22412,0.000401022,0.000401022,0.000401022
26,943.972,0.3258,0.35995,0.26187,0.83439,0.66128,0.66492,0.70209,0.50509,0.69597,0.72297,0.70829,0.43049,1.42284,7.41764,0.89558,2.33715,0.000395815,0.000395815,0.000395815
27,980.358,0.31435,0.33445,0.25573,0.83163,0.5739,0.60312,0.62548,0.49827,0.6172,0.66821,0.68168,0.42379,1.46645,9.60363,0.90192,2.45156,0.000390608,0.000390608,0.000390608
28,1016.49,0.31169,0.33079,0.25269,0.83172,0.57849,0.65309,0.6496,0.50201,0.5637,0.59452,0.61693,0.42409,1.38335,9.5711,0.85027,2.28247,0.0003854,0.0003854,0.0003854
29,1052.6,0.3037,0.31218,0.24892,0.83008,0.66754,0.71065,0.73313,0.52657,0.63815,0.68741,0.71717,0.46536,1.41625,9.3604,0.97169,2.17157,0.000380193,0.000380193,0.000380193
30,1088.78,0.29838,0.30421,0.24235,0.82836,0.67832,0.67027,0.6852,0.50285,0.6284,0.62415,0.63139,0.42466,1.41363,9.19048,0.92527,2.29725,0.000374985,0.000374985,0.000374985
31,1124.96,0.29003,0.28422,0.23822,0.8256,0.69069,0.65411,0.64467,0.49716,0.70148,0.65972,0.66103,0.42175,1.3857,9.91712,0.97848,2.27916,0.000369778,0.000369778,0.000369778
