epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2557,0,0,30.4803,0,0.02039,0.27315,0.02092,0.01575,0.0202,0.18519,0.02208,0.01565,0.97246,4.10108,4.00954,1.15136,4.116e-05,4.116e-05,4.116e-05
2,4.03896,0,0,30.0556,0,0.01693,0.21296,0.01671,0.01119,0.0153,0.18519,0.02483,0.01329,0.99263,4.51433,4.0119,1.1548,8.23788e-05,8.23788e-05,8.23788e-05
3,4.73315,0,0,29.2963,0,0.0102,0.3669,0.01504,0.0102,0.01124,0.22454,0.01615,0.01121,0.9986,4.56512,4.02739,1.16788,0.000117388,0.000117388,0.000117388
4,5.40858,0,0,28.7701,0,0.0079,0.44097,0.0242,0.01694,0.00905,0.27083,0.02156,0.01658,1.00602,4.79106,4.05287,1.19351,0.000146189,0.000146189,0.000146189
5,6.03508,0,0,28.1711,0,0.00503,0.42245,0.01541,0.00864,0.00852,0.24769,0.01647,0.01042,0.99784,4.67138,4.07394,1.23818,0.00016878,0.00016878,0.00016878
6,6.90955,0,0,27.5017,0,0.00897,0.44097,0.09256,0.07932,0.00956,0.37037,0.08828,0.07809,1.20557,4.13034,4.12054,1.40955,0.000185161,0.000185161,0.000185161
7,7.51286,0,0,26.9481,0,0.0115,0.42361,0.03307,0.02052,0.01058,0.26157,0.02388,0.02014,1.36539,4.32706,4.22479,1.53482,0.000195334,0.000195334,0.000195334
8,8.12294,0,0,26.5129,0,0.00316,0.29167,0.00686,0.00202,0.00259,0.14583,0.00188,0.00126,1.59531,4.70696,4.33106,1.75924,0.000199297,0.000199297,0.000199297
9,8.74892,0,0,26.2099,0,0.00147,0.19097,0.00343,0.00108,0.0005,0.12269,0.00063,0.0002,1.89943,5.18113,4.41787,2.06869,0.000197051,0.000197051,0.000197051
10,9.324,0,0,25.8622,0,0.00095,0.14931,0.00167,0.00069,0.00126,0.125,0.00146,0.00071,2.01169,5.3564,4.48223,2.2124,0.000188595,0.000188595,0.000188595
11,10.1055,0,0,25.8208,0,0.00047,0.13889,0.00183,0.00089,0.0018,0.12731,0.00156,0.00055,1.99467,5.10244,4.48303,2.2068,0.00017393,0.00017393,0.00017393
