epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.023,0.93994,0.92591,1.36633,1.08992,0.47265,0.19188,0.20665,0.15514,0.47108,0.1901,0.20373,0.12172,0.91168,1.13186,8.04163,1.1213,0.00333221,0.00333221,0.00333221
2,296.228,0.63912,0.60887,0.68163,0.92906,0.61052,0.23379,0.27331,0.21049,0.60868,0.23144,0.26992,0.16949,0.86753,1.08796,8.04681,1.1249,0.00644558,0.00644558,0.00644558
3,437.827,0.59513,0.55087,0.61013,0.9123,0.51705,0.28262,0.27889,0.22157,0.51576,0.28084,0.27719,0.16999,0.91252,1.19526,8.58657,1.22848,0.00933895,0.00933895,0.00933895
4,579.045,0.54236,0.50652,0.52108,0.89537,0.41806,0.32818,0.44147,0.35083,0.41475,0.32526,0.43784,0.27726,0.88512,1.18194,9.74825,1.21419,0.00901,0.00901,0.00901
5,723.086,0.48287,0.45916,0.44249,0.8755,0.6767,0.43093,0.45964,0.36413,0.67556,0.42943,0.45818,0.29405,0.84942,1.11637,9.69184,1.20736,0.00868,0.00868,0.00868
6,867.83,0.44555,0.42998,0.40159,0.86325,0.59619,0.40238,0.44433,0.364,0.59483,0.40081,0.44233,0.27967,0.82141,1.14313,9.38613,1.20333,0.00835,0.00835,0.00835
7,1007.71,0.41834,0.40904,0.37452,0.85492,0.54485,0.48723,0.4652,0.3705,0.53935,0.485,0.46311,0.3002,0.77933,1.10895,9.88507,1.18141,0.00802,0.00802,0.00802
8,1145.2,0.39796,0.39274,0.35551,0.848,0.52419,0.51922,0.46835,0.37157,0.5225,0.5163,0.46522,0.30284,0.7802,1.14992,10.0652,1.20951,0.00769,0.00769,0.00769
9,1281.69,0.37977,0.38013,0.33956,0.84267,0.59591,0.46872,0.46318,0.36811,0.59415,0.46637,0.46092,0.29783,0.77105,1.15497,10.0059,1.21006,0.00736,0.00736,0.00736
10,1417.73,0.36544,0.36833,0.32753,0.83821,0.54242,0.45601,0.46561,0.3701,0.54102,0.45409,0.46332,0.28046,0.7825,1.1443,10.2122,1.25624,0.00703,0.00703,0.00703
11,1557.48,0.35239,0.3579,0.316,0.83402,0.49258,0.50155,0.46361,0.37161,0.4912,0.4992,0.46048,0.29727,0.76041,1.16982,10.2091,1.22503,0.0067,0.0067,0.0067
12,1701.61,0.33957,0.34944,0.30641,0.82977,0.44526,0.49481,0.39466,0.31862,0.44349,0.49203,0.39151,0.25008,0.74753,1.17564,10.7366,1.21791,0.00637,0.00637,0.00637
13,1846.62,0.33016,0.34272,0.29762,0.82719,0.44048,0.49959,0.39736,0.32803,0.43907,0.49731,0.3941,0.24071,0.75075,1.18823,10.7332,1.23396,0.00604,0.00604,0.00604
14,1991.81,0.32138,0.33518,0.28994,0.82455,0.59611,0.33022,0.36724,0.30826,0.59477,0.32851,0.36486,0.22738,0.74122,1.1948,10.714,1.22032,0.00571,0.00571,0.00571
15,2142.06,0.31219,0.32868,0.28193,0.82189,0.43088,0.50445,0.40468,0.33537,0.42935,0.50196,0.40188,0.25387,0.73995,1.21523,10.9037,1.22954,0.00538,0.00538,0.00538
16,2289.72,0.30366,0.32241,0.2751,0.81957,0.45779,0.50438,0.4078,0.33859,0.45631,0.50196,0.40523,0.25552,0.74331,1.23721,11.0406,1.24905,0.00505,0.00505,0.00505
17,2431.05,0.29502,0.31616,0.26811,0.81726,0.44257,0.47923,0.42554,0.35457,0.44133,0.47723,0.42319,0.26938,0.74154,1.23213,11.1977,1.24869,0.00472,0.00472,0.00472
18,2567.04,0.2868,0.30936,0.26145,0.81473,0.43061,0.48221,0.44531,0.37243,0.42909,0.47972,0.44281,0.28453,0.74092,1.23521,11.2834,1.25269,0.00439,0.00439,0.00439
1,159.215,0.93764,0.92461,1.37125,1.0918,0.38157,0.25279,0.27339,0.20138,0.27727,0.17395,0.18268,0.08986,1.09894,2.01519,1.11185,1.1296,0.00333221,0.00333221,0.00333221
