epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.156,0.85044,0.87458,1.30322,1.08407,0.51367,0.24252,0.24939,0.18428,0.40545,0.16479,0.16064,0.07866,1.12918,2.21247,1.2276,1.20898,0.00333277,0.00333277,0.00333277
2,631.18,0.56695,0.50306,0.63213,0.90776,0.44558,0.30754,0.33504,0.25773,0.34327,0.22616,0.24484,0.1366,1.18048,2.24354,1.18937,1.28103,0.00653412,0.00653412,0.00653412
3,909.475,0.54284,0.46469,0.57487,0.89331,0.31532,0.31175,0.31388,0.24553,0.22229,0.22696,0.22432,0.12573,1.21894,2.12738,1.12069,1.29707,0.00960346,0.00960346,0.00960346
4,1171.11,0.50424,0.42484,0.50255,0.87867,0.41801,0.35834,0.29832,0.23667,0.33249,0.27796,0.20819,0.11552,1.16962,2.28131,1.10996,1.26469,0.009406,0.009406,0.009406
5,1404.13,0.44548,0.37532,0.4243,0.85647,0.55503,0.31748,0.31701,0.25618,0.47394,0.2457,0.22796,0.13267,1.19154,2.24865,1.12834,1.28577,0.009208,0.009208,0.009208
6,1613.99,0.40926,0.34399,0.3793,0.84314,0.40295,0.33791,0.31743,0.25461,0.30515,0.25341,0.2268,0.12897,1.23925,2.33618,1.20094,1.32082,0.00901,0.00901,0.00901
7,1824.14,0.38319,0.32281,0.35003,0.83367,0.42858,0.34171,0.31547,0.25426,0.33585,0.25924,0.22638,0.12984,1.28241,2.44447,1.18279,1.35669,0.008812,0.008812,0.008812
8,2033.33,0.36408,0.30592,0.33066,0.82683,0.58768,0.31956,0.32741,0.26203,0.49167,0.23962,0.23796,0.13706,1.28481,2.4379,1.18149,1.35082,0.008614,0.008614,0.008614
9,2242.62,0.34847,0.29186,0.31542,0.82119,0.42276,0.34736,0.32226,0.25792,0.32448,0.26483,0.23306,0.13359,1.31147,2.52067,1.18202,1.37409,0.008416,0.008416,0.008416
10,2451.64,0.33531,0.28137,0.3022,0.81634,0.45376,0.31316,0.33174,0.26655,0.35163,0.23395,0.24143,0.14223,1.31452,2.57175,1.17868,1.39241,0.008218,0.008218,0.008218
11,2661.11,0.32278,0.27106,0.29004,0.81244,0.42656,0.35531,0.33775,0.27145,0.33393,0.27344,0.24818,0.14517,1.31977,2.59737,1.18652,1.40448,0.00802,0.00802,0.00802
12,2870.88,0.31266,0.26276,0.28016,0.80881,0.42176,0.34503,0.33523,0.26936,0.3308,0.26296,0.24591,0.14566,1.31542,2.67747,1.17759,1.3999,0.007822,0.007822,0.007822
13,3080.02,0.30449,0.25574,0.27263,0.8061,0.4413,0.35703,0.33068,0.26593,0.34917,0.27756,0.24138,0.14218,1.31462,2.68191,1.18418,1.40249,0.007624,0.007624,0.007624
14,3289.78,0.29719,0.2494,0.26513,0.80363,0.43431,0.34949,0.33044,0.26777,0.33771,0.27007,0.24125,0.14121,1.30743,2.70432,1.18453,1.40059,0.007426,0.007426,0.007426
15,3499.32,0.28911,0.24365,0.25908,0.80074,0.43319,0.34826,0.3312,0.26774,0.33682,0.26767,0.2415,0.14109,1.32518,2.75528,1.18406,1.42289,0.007228,0.007228,0.007228
16,3708.83,0.28274,0.23728,0.25176,0.79865,0.42782,0.34755,0.32985,0.26642,0.33193,0.2686,0.23994,0.13974,1.32595,2.81635,1.1759,1.4268,0.00703,0.00703,0.00703
17,3919.02,0.27585,0.23215,0.24528,0.79631,0.42538,0.34751,0.33207,0.2685,0.33228,0.27187,0.24214,0.14298,1.32578,2.83498,1.1718,1.42958,0.006832,0.006832,0.006832
18,4127.75,0.27069,0.22667,0.23992,0.79484,0.42566,0.34417,0.33217,0.26857,0.33197,0.26821,0.2422,0.14188,1.33062,2.84486,1.16819,1.43502,0.006634,0.006634,0.006634
19,4336.52,0.26465,0.22226,0.23496,0.793,0.42412,0.34806,0.33262,0.26876,0.3326,0.2751,0.24161,0.14243,1.33598,2.86774,1.16515,1.44333,0.006436,0.006436,0.006436
20,4545.16,0.25973,0.21829,0.22992,0.79147,0.43485,0.34714,0.3332,0.27024,0.33885,0.27385,0.2421,0.14172,1.33929,2.88415,1.16205,1.4482,0.006238,0.006238,0.006238
21,4754.59,0.25401,0.21291,0.22604,0.7897,0.43952,0.35315,0.33359,0.26951,0.3386,0.2729,0.24251,0.14159,1.34194,2.90511,1.16197,1.45288,0.00604,0.00604,0.00604
