epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.94002,0.42254,0.4795,0.92103,0.92499,0.61426,0.66845,0.68279,0.46667,0.61426,0.66845,0.68982,0.3895,1.12596,2.09568,4.07371,1.24172,0.000163055,0.000163055,0.000163055
2,15.4977,0.41535,0.47458,0.90572,0.91431,0.67925,0.6416,0.68575,0.487,0.67925,0.6416,0.69208,0.36946,1.07978,1.92781,3.88766,1.16338,0.00032748,0.00032748,0.00032748
3,23.13,0.42598,0.48724,0.93104,0.92415,0.61883,0.66504,0.70917,0.48685,0.62169,0.67229,0.72195,0.43329,1.12321,1.9057,3.67193,1.25864,0.000489705,0.000489705,0.000489705
4,30.7567,0.44966,0.49672,0.96856,0.93756,0.63641,0.62316,0.64739,0.46209,0.64351,0.63394,0.6676,0.38984,1.08505,1.7243,4.29658,1.23946,0.000649731,0.000649731,0.000649731
5,38.3046,0.45794,0.5336,0.98766,0.93158,0.71533,0.64408,0.67541,0.47434,0.71301,0.64237,0.6892,0.37768,1.1828,1.95571,3.89952,1.21095,0.000807558,0.000807558,0.000807558
6,45.8029,0.45717,0.54205,0.99622,0.93242,0.73921,0.58212,0.67498,0.50246,0.74579,0.59323,0.68217,0.4223,1.08493,1.52959,4.16524,1.1683,0.000805511,0.000805511,0.000805511
7,53.3011,0.48528,0.54598,1.04959,0.93922,0.68052,0.57974,0.70197,0.49911,0.68168,0.5836,0.6818,0.39554,1.10032,1.62201,3.80655,1.14753,0.000800013,0.000800013,0.000800013
8,60.8253,0.4746,0.55897,1.0477,0.94822,0.62907,0.61814,0.67193,0.41566,0.62907,0.61814,0.64601,0.31964,1.35121,2.53291,4.68255,1.36903,0.000794515,0.000794515,0.000794515
9,68.5386,0.46244,0.51445,1.01927,0.93344,0.61862,0.60315,0.64272,0.43238,0.61828,0.60106,0.63119,0.38124,1.2713,2.00787,4.53275,1.27363,0.000789018,0.000789018,0.000789018
10,76.1402,0.46067,0.52226,1.00006,0.93214,0.6898,0.62774,0.65738,0.45859,0.69959,0.64641,0.69064,0.38065,1.20311,1.94088,4.00487,1.18825,0.00078352,0.00078352,0.00078352
11,83.6777,0.46296,0.54097,1.00367,0.93691,0.6528,0.66522,0.70749,0.50767,0.6498,0.65797,0.69812,0.40731,1.1194,1.55894,4.03863,1.21997,0.000778022,0.000778022,0.000778022
12,91.2497,0.46272,0.52871,0.99216,0.93238,0.59196,0.64836,0.66935,0.45114,0.58785,0.64302,0.68005,0.35895,1.21026,2.31774,3.96263,1.27361,0.000772524,0.000772524,0.000772524
13,98.7975,0.46015,0.50683,0.98771,0.93242,0.65442,0.63812,0.68019,0.43199,0.67304,0.62246,0.65382,0.33451,1.20489,2.81857,4.11887,1.29988,0.000767026,0.000767026,0.000767026
14,106.34,0.45863,0.52949,1.00087,0.92905,0.69115,0.64092,0.67046,0.47702,0.69304,0.64479,0.68309,0.38633,1.12274,1.94,3.63231,1.16199,0.000761529,0.000761529,0.000761529
15,113.882,0.45769,0.52841,0.99755,0.93794,0.68895,0.63318,0.641,0.45234,0.68973,0.63704,0.64019,0.39394,1.13939,2.04145,3.77561,1.18306,0.000756031,0.000756031,0.000756031
16,121.479,0.45914,0.5313,1.00999,0.93464,0.68106,0.63108,0.65042,0.46945,0.68099,0.62914,0.67397,0.36083,1.08911,1.94499,3.85467,1.1214,0.000750533,0.000750533,0.000750533
17,129.225,0.45684,0.49833,0.97622,0.93724,0.65102,0.591,0.66097,0.48308,0.65528,0.6027,0.70249,0.38174,1.07662,2.27345,4.14264,1.18036,0.000745035,0.000745035,0.000745035
18,136.84,0.44128,0.49374,0.95511,0.91666,0.72217,0.53544,0.66789,0.46057,0.71578,0.5282,0.63847,0.35948,1.22179,2.70206,4.62376,1.31063,0.000739537,0.000739537,0.000739537
19,144.397,0.45031,0.51232,0.97746,0.92725,0.77215,0.5796,0.66125,0.4482,0.77173,0.57789,0.67867,0.38622,1.24326,2.49539,4.24134,1.32855,0.00073404,0.00073404,0.00073404
20,151.993,0.45225,0.51781,0.97011,0.92351,0.68942,0.55614,0.64261,0.44137,0.67603,0.5513,0.65352,0.38022,1.26501,2.34779,4.59315,1.36662,0.000728542,0.000728542,0.000728542
21,159.614,0.44107,0.50798,0.95817,0.92293,0.68961,0.63464,0.7142,0.49167,0.67222,0.63522,0.70434,0.40804,1.17081,1.79002,3.63981,1.36195,0.000723044,0.000723044,0.000723044
22,167.225,0.44339,0.49443,0.96185,0.92212,0.63152,0.61554,0.69101,0.4741,0.62439,0.60272,0.6832,0.36758,1.1104,2.34153,4.07437,1.22056,0.000717546,0.000717546,0.000717546
23,174.835,0.44483,0.54094,0.96763,0.92445,0.64497,0.60009,0.71101,0.4938,0.62929,0.57445,0.69899,0.39647,1.05143,2.15022,3.8593,1.13298,0.000712048,0.000712048,0.000712048
24,182.354,0.44213,0.50545,0.95949,0.92797,0.65055,0.57119,0.67906,0.4556,0.64017,0.55666,0.68232,0.38033,1.16618,2.1987,4.47793,1.21262,0.000706551,0.000706551,0.000706551
25,190.104,0.43575,0.47818,0.94435,0.92688,0.65899,0.65898,0.67323,0.45945,0.62438,0.63845,0.67025,0.36245,1.25649,2.57473,4.61456,1.26789,0.000701053,0.000701053,0.000701053
26,197.629,0.43306,0.49315,0.95833,0.92077,0.64836,0.63682,0.64539,0.45522,0.6477,0.635,0.66325,0.37333,1.13735,1.67819,3.83901,1.21246,0.000695555,0.000695555,0.000695555
27,205.174,0.44104,0.49054,0.94703,0.91973,0.64049,0.64806,0.64871,0.47661,0.57046,0.63763,0.63734,0.38308,1.00765,1.59142,3.79388,1.11692,0.000690057,0.000690057,0.000690057
28,212.737,0.43664,0.49141,0.94529,0.91852,0.73073,0.56607,0.68959,0.4967,0.6419,0.62842,0.69533,0.40961,1.06994,1.60796,3.70585,1.19177,0.000684559,0.000684559,0.000684559
29,220.289,0.44196,0.50327,0.95222,0.92006,0.70448,0.62509,0.70116,0.5023,0.70687,0.62895,0.7113,0.40503,1.07849,1.8417,3.44101,1.2436,0.000679062,0.000679062,0.000679062
30,227.811,0.43123,0.48027,0.94032,0.92104,0.59051,0.62207,0.70342,0.49,0.5876,0.61525,0.69901,0.39743,1.09158,1.61115,4.07499,1.26332,0.000673564,0.000673564,0.000673564
31,235.44,0.43749,0.50095,0.95723,0.92227,0.65073,0.57857,0.66767,0.45049,0.61384,0.57756,0.64806,0.3575,1.098,1.79741,3.86342,1.27061,0.000668066,0.000668066,0.000668066
32,243.023,0.44119,0.49319,0.94015,0.92104,0.64846,0.63344,0.68645,0.49505,0.60701,0.61983,0.66252,0.38302,1.07725,2.04397,3.57834,1.17827,0.000662568,0.000662568,0.000662568
33,250.552,0.4291,0.49167,0.96521,0.91937,0.65204,0.65231,0.68202,0.504,0.62176,0.63949,0.68787,0.40578,1.09014,2.0178,3.69473,1.18354,0.00065707,0.00065707,0.00065707
34,258.203,0.41855,0.46789,0.91317,0.91306,0.62873,0.65376,0.66894,0.49589,0.63096,0.65762,0.67907,0.41099,1.03865,1.93216,3.2278,1.0869,0.000651573,0.000651573,0.000651573
35,265.764,0.42518,0.47662,0.92304,0.91867,0.63136,0.66495,0.67221,0.46437,0.63695,0.67595,0.6918,0.38015,1.20388,2.2165,3.82126,1.26829,0.000646075,0.000646075,0.000646075
36,273.335,0.4352,0.47843,0.94345,0.9217,0.61409,0.64772,0.67219,0.46956,0.57656,0.62079,0.63341,0.373,1.2393,2.15232,3.9645,1.29934,0.000640577,0.000640577,0.000640577
37,281,0.42223,0.4676,0.91673,0.91178,0.66965,0.63753,0.68876,0.48192,0.66918,0.63577,0.6855,0.37334,1.25085,1.60683,3.99498,1.25341,0.000635079,0.000635079,0.000635079
38,288.711,0.42742,0.47646,0.93827,0.91542,0.68144,0.6456,0.68759,0.49648,0.6873,0.65671,0.6999,0.38401,1.05772,1.84984,3.44878,1.18066,0.000629581,0.000629581,0.000629581
39,296.374,0.41955,0.47388,0.9126,0.92131,0.63783,0.65639,0.69667,0.53666,0.6104,0.65927,0.7004,0.4218,0.98077,1.86465,3.48544,1.12976,0.000624084,0.000624084,0.000624084
40,304.077,0.41676,0.47146,0.9072,0.90775,0.6367,0.61787,0.67151,0.48042,0.73591,0.57678,0.69201,0.40122,1.07064,2.2519,3.54382,1.12413,0.000618586,0.000618586,0.000618586
41,311.815,0.40586,0.45461,1.34068,0.89798,0.73628,0.55236,0.65589,0.48108,0.73767,0.55622,0.68267,0.38219,1.09501,2.33705,3.96911,1.19207,0.000613088,0.000613088,0.000613088
42,319.467,0.42049,0.47948,0.91295,0.91328,0.6319,0.63771,0.69761,0.52695,0.62804,0.63056,0.6929,0.4062,0.9739,2.06092,3.73784,1.09156,0.00060759,0.00060759,0.00060759
