epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.38827,0.53956,0.61475,1.57112,0.99221,0.7388,0.661,0.6925,0.47571,0.73381,0.65375,0.67906,0.37502,1.29623,1.79938,5.34475,1.24724,0.000163055,0.000163055,0.000163055
2,16.0614,0.52943,0.6172,1.54148,0.9749,0.71948,0.65622,0.65932,0.45127,0.72766,0.66733,0.66501,0.35918,1.29653,1.92439,5.77964,1.22557,0.00032748,0.00032748,0.00032748
3,23.7431,0.53656,0.62969,1.60203,0.98054,0.70079,0.67693,0.70059,0.49721,0.72159,0.68804,0.71766,0.39332,1.10017,1.62329,4.42788,1.11399,0.000489705,0.000489705,0.000489705
4,31.4488,0.56238,0.63331,1.61195,1.00101,0.65075,0.68126,0.68668,0.47988,0.65075,0.68126,0.6859,0.36691,1.18558,2.1807,5.75644,1.21393,0.000649731,0.000649731,0.000649731
5,39.0259,0.58171,0.69627,1.66401,0.99821,0.64396,0.64039,0.65284,0.43705,0.6596,0.65536,0.63583,0.31846,1.33466,2.01773,5.56458,1.24898,0.000807558,0.000807558,0.000807558
6,46.5407,0.5767,0.67933,1.71957,0.99732,0.70164,0.66858,0.67013,0.45573,0.69299,0.65576,0.65834,0.34515,1.20589,1.70337,5.53809,1.19841,0.000805511,0.000805511,0.000805511
7,54.048,0.585,0.67966,1.71975,0.99381,0.65031,0.6733,0.65617,0.45559,0.65457,0.68079,0.6625,0.35978,1.34948,1.7687,5.47046,1.30703,0.000800013,0.000800013,0.000800013
8,61.707,0.57388,0.69337,1.68038,1.00174,0.66186,0.6642,0.64063,0.42086,0.63602,0.66344,0.65219,0.30288,1.33621,1.5182,6.00696,1.3101,0.000794515,0.000794515,0.000794515
9,69.2174,0.55982,0.65448,1.70773,0.98911,0.73347,0.61925,0.67129,0.48346,0.74172,0.63207,0.67655,0.37837,1.14303,1.52941,4.96236,1.15203,0.000789018,0.000789018,0.000789018
10,76.7732,0.58698,0.66552,1.68503,1.00099,0.61084,0.6739,0.68559,0.49706,0.62305,0.67219,0.69322,0.37888,1.18869,1.85376,5.99879,1.17841,0.00078352,0.00078352,0.00078352
11,84.3632,0.57614,0.67086,1.67319,0.99943,0.59217,0.65063,0.63025,0.42288,0.62317,0.6726,0.66381,0.32465,1.35483,1.83695,5.78967,1.39495,0.000778022,0.000778022,0.000778022
12,91.9598,0.55192,0.64693,1.60277,0.98455,0.58229,0.60663,0.66077,0.44324,0.57468,0.59019,0.64844,0.34641,1.27409,1.56044,6.08554,1.25688,0.000772524,0.000772524,0.000772524
13,99.5519,0.5493,0.61981,1.61276,0.98458,0.65589,0.64539,0.67078,0.4447,0.63615,0.63982,0.66507,0.36041,1.25059,1.49302,4.89078,1.28304,0.000767026,0.000767026,0.000767026
14,107.177,0.56892,0.65629,1.61138,0.99328,0.6758,0.65904,0.68551,0.5011,0.68237,0.67015,0.68939,0.40994,1.06376,1.45453,4.68392,1.08393,0.000761529,0.000761529,0.000761529
15,114.853,0.55844,0.65149,1.62858,0.99231,0.54757,0.67026,0.63984,0.4362,0.54349,0.6613,0.63572,0.33741,1.18869,1.66498,5.36711,1.1845,0.000756031,0.000756031,0.000756031
16,122.687,0.56983,0.66485,1.63401,0.98859,0.71359,0.67867,0.70273,0.48648,0.72395,0.69703,0.70794,0.38513,1.2735,1.9018,4.75267,1.28929,0.000750533,0.000750533,0.000750533
17,130.285,0.55558,0.62069,1.57443,0.9829,0.71632,0.62594,0.72544,0.52698,0.70847,0.61312,0.70143,0.39185,1.10562,1.61553,5.01322,1.11296,0.000745035,0.000745035,0.000745035
18,137.931,0.54337,0.61463,1.54763,0.97071,0.60471,0.66021,0.70692,0.50026,0.62442,0.66277,0.71096,0.4,1.20611,1.59513,5.01026,1.1734,0.000739537,0.000739537,0.000739537
19,145.541,0.54652,0.62134,1.59399,0.97898,0.601,0.67914,0.66861,0.43968,0.601,0.67914,0.67337,0.3808,1.36341,1.74705,5.43244,1.41321,0.00073404,0.00073404,0.00073404
20,153.142,0.54812,0.63353,1.56599,0.9744,0.7002,0.63918,0.70551,0.50903,0.69579,0.63197,0.69124,0.42013,1.16488,1.62531,4.81033,1.17079,0.000728542,0.000728542,0.000728542
21,161.329,0.53664,0.61811,1.53619,0.97386,0.81743,0.60534,0.7054,0.49702,0.78975,0.57321,0.6505,0.39902,1.17005,1.66677,5.05522,1.17928,0.000723044,0.000723044,0.000723044
22,168.904,0.53627,0.60852,1.54665,0.9775,0.6481,0.66682,0.71261,0.52977,0.64451,0.65957,0.69974,0.42043,1.07722,1.58627,4.79464,1.14239,0.000717546,0.000717546,0.000717546
23,176.553,0.54397,0.62588,1.54533,0.9731,0.72785,0.66739,0.69273,0.50653,0.72624,0.67203,0.69014,0.40725,1.14268,1.59648,4.43347,1.12946,0.000712048,0.000712048,0.000712048
24,184.245,0.54383,0.61601,1.54652,0.98051,0.65704,0.64368,0.68885,0.457,0.62342,0.6125,0.6378,0.33439,1.30714,1.95742,5.85421,1.27296,0.000706551,0.000706551,0.000706551
25,191.773,0.5239,0.58128,1.50144,0.97406,0.68945,0.6591,0.70297,0.49835,0.68654,0.65186,0.68816,0.38706,1.18145,1.68575,5.59663,1.16548,0.000701053,0.000701053,0.000701053
26,199.342,0.5191,0.59352,1.50208,0.96492,0.62157,0.63349,0.64963,0.4439,0.62455,0.63735,0.65274,0.35595,1.29019,1.6772,5.56753,1.31493,0.000695555,0.000695555,0.000695555
27,207.041,0.51717,0.59674,1.49974,0.96052,0.67185,0.63786,0.68322,0.47947,0.67773,0.64898,0.69424,0.37822,1.24072,1.74992,5.4384,1.19624,0.000690057,0.000690057,0.000690057
28,214.586,0.5123,0.5809,1.48297,0.95937,0.60471,0.6481,0.67671,0.45284,0.59359,0.64311,0.66603,0.36363,1.31334,2.02554,5.56527,1.2973,0.000684559,0.000684559,0.000684559
29,222.111,0.5241,0.6082,1.50241,0.96438,0.67462,0.68518,0.69168,0.47612,0.62651,0.67017,0.68489,0.40404,1.18777,1.46909,4.66997,1.25005,0.000679062,0.000679062,0.000679062
30,229.682,0.50748,0.58782,1.4863,0.95796,0.63659,0.67793,0.69929,0.51865,0.64213,0.68904,0.70549,0.41568,1.07902,1.38904,4.79787,1.10892,0.000673564,0.000673564,0.000673564
31,237.289,0.51472,0.60763,1.49121,0.95997,0.66287,0.6495,0.69608,0.4758,0.64364,0.64256,0.69454,0.39025,1.2777,1.81777,4.88392,1.26341,0.000668066,0.000668066,0.000668066
32,244.926,0.52176,0.60121,1.47159,0.96163,0.66526,0.64645,0.65003,0.44727,0.61682,0.62639,0.6401,0.33592,1.41364,1.91778,5.8056,1.35086,0.000662568,0.000662568,0.000662568
33,252.524,0.52869,0.59243,1.56782,0.96792,0.78321,0.61002,0.71001,0.50847,0.73926,0.61043,0.69783,0.38231,1.11916,1.59917,5.4277,1.17723,0.00065707,0.00065707,0.00065707
34,260.139,0.50098,0.57284,1.46036,0.95384,0.699,0.64465,0.69396,0.49283,0.69358,0.63298,0.68198,0.40664,1.16546,1.69588,5.18808,1.2216,0.000651573,0.000651573,0.000651573
35,267.783,0.51308,0.56926,1.47052,0.96631,0.72647,0.63094,0.66015,0.45805,0.72899,0.63842,0.68189,0.37813,1.29379,1.76618,5.61719,1.33673,0.000646075,0.000646075,0.000646075
36,275.458,0.50342,0.5743,1.45665,0.96058,0.7697,0.59771,0.67814,0.49952,0.76451,0.59046,0.67659,0.39192,1.136,1.50436,5.00547,1.15743,0.000640577,0.000640577,0.000640577
37,283.03,0.50305,0.5688,1.44799,0.94738,0.70205,0.62504,0.67697,0.50634,0.69757,0.61779,0.66772,0.39767,1.05012,1.80815,4.97996,1.10201,0.000635079,0.000635079,0.000635079
38,290.596,0.50403,0.56505,1.43488,0.95614,0.69889,0.5848,0.68659,0.52613,0.70483,0.59449,0.70006,0.44481,1.05316,1.53716,5.02634,1.09893,0.000629581,0.000629581,0.000629581
39,298.21,0.49294,0.56066,1.42874,0.95779,0.654,0.62261,0.68702,0.48819,0.63772,0.62342,0.69391,0.39794,1.18262,1.67206,5.60811,1.2182,0.000624084,0.000624084,0.000624084
40,305.781,0.49052,0.57023,1.41666,0.94364,0.66459,0.65683,0.67775,0.48098,0.66459,0.65683,0.68097,0.39218,1.16931,2.18441,5.17062,1.18863,0.000618586,0.000618586,0.000618586
41,313.474,0.48188,0.54131,1.5407,0.93582,0.59472,0.65145,0.66048,0.48674,0.59582,0.65531,0.67443,0.38901,1.12683,1.98002,5.07785,1.19075,0.000613088,0.000613088,0.000613088
