epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.26955,1.34533,2.2514,9.39065,1.23176,0.92134,0.30624,0.42269,0.31831,0.92134,0.30624,0.4229,0.30409,0.85651,0.79439,6.29014,0.94639,0.000164749,0.000164749,0.000164749
2,11.902,1.11743,1.26392,4.65591,1.08097,0.8472,0.62848,0.80542,0.57051,0.8472,0.62848,0.80542,0.5365,0.88837,0.77047,2.77126,0.992,0.000329162,0.000329162,0.000329162
3,17.4874,1.06753,1.08504,3.87128,1.05232,0.85281,0.82834,0.77804,0.55277,0.85281,0.82834,0.77804,0.52813,0.82095,0.7377,2.69601,0.93869,0.000491376,0.000491376,0.000491376
4,23.0138,1.0387,1.06545,3.55207,1.03786,0.84653,0.70669,0.81669,0.57531,0.84653,0.70669,0.81669,0.53257,0.89258,0.76719,2.58869,0.99617,0.000651391,0.000651391,0.000651391
5,28.5781,1.01268,1.06035,3.17726,1.04311,0.64516,0.71722,0.81935,0.60619,0.64516,0.71722,0.81935,0.53511,0.84786,0.73538,2.82388,0.98946,0.000809207,0.000809207,0.000809207
6,34.1607,0.98934,0.98039,2.88494,1.02748,0.81391,0.83777,0.8712,0.63695,0.81391,0.83777,0.8712,0.58783,0.82473,0.67814,2.07823,0.95688,0.000805511,0.000805511,0.000805511
7,39.625,0.98568,1.08215,2.72741,1.03024,0.86775,0.8652,0.93887,0.74039,0.86775,0.8652,0.93887,0.66715,0.76542,0.68299,2.0877,0.93185,0.000800013,0.000800013,0.000800013
8,45.1395,0.95224,1.00967,2.51731,1.00721,0.75205,0.93774,0.8489,0.63804,0.77534,0.91415,0.85214,0.60182,0.79332,0.62855,2.07121,0.93558,0.000794515,0.000794515,0.000794515
9,50.5847,0.93299,1.02235,2.43558,0.99455,0.84988,0.93558,0.92673,0.68476,0.84988,0.93558,0.90482,0.62574,0.72888,0.71835,1.90833,0.90053,0.000789018,0.000789018,0.000789018
10,56.0734,0.9347,1.00625,2.2828,1.00516,0.97303,0.93636,0.94423,0.73581,0.97303,0.93636,0.9382,0.69006,0.79083,0.73744,1.91491,0.92363,0.00078352,0.00078352,0.00078352
11,61.5876,0.89809,0.95465,2.18607,0.98849,0.98993,0.92343,0.95945,0.75733,0.98993,0.92343,0.9401,0.65849,0.70444,0.67469,1.79245,0.89611,0.000778022,0.000778022,0.000778022
12,67.8977,0.91436,0.9732,2.12047,0.97984,0.97889,0.92986,0.94802,0.73386,0.97889,0.92986,0.94802,0.72372,0.80003,0.68293,1.64369,0.92954,0.000772524,0.000772524,0.000772524
13,73.4111,0.87083,0.87484,2.06522,0.97773,0.97208,0.94221,0.95187,0.70296,0.97208,0.94221,0.94,0.62933,0.76978,0.60254,1.59361,0.90477,0.000767026,0.000767026,0.000767026
14,79.0127,0.89478,0.88624,1.99715,0.98025,0.9363,0.8366,0.89946,0.68295,0.9363,0.8366,0.89161,0.66194,0.75753,0.60597,1.6013,0.91053,0.000761529,0.000761529,0.000761529
15,84.4623,0.89271,0.88032,2.02265,0.97585,0.95835,0.93932,0.95177,0.74869,0.95835,0.93932,0.94154,0.69645,0.72926,0.66941,1.44394,0.88693,0.000756031,0.000756031,0.000756031
16,89.9292,0.84327,0.86351,1.90838,0.96445,0.97271,0.89251,0.96219,0.78931,0.97271,0.89251,0.94031,0.70021,0.68381,0.66159,1.53919,0.91024,0.000750533,0.000750533,0.000750533
17,95.3958,0.85164,0.97126,1.8191,0.96379,0.97817,0.9318,0.95037,0.76817,0.97817,0.9318,0.95037,0.78447,0.68486,0.62026,1.41306,0.8779,0.000745035,0.000745035,0.000745035
18,100.859,0.84331,0.87485,1.78787,0.96238,0.96166,0.93205,0.95962,0.76491,0.96166,0.93205,0.9751,0.71551,0.70942,0.63508,1.37385,0.8993,0.000739537,0.000739537,0.000739537
19,106.314,0.82338,0.93583,1.76208,0.95899,0.97133,0.94286,0.96283,0.80071,0.97133,0.94286,0.94131,0.74891,0.69189,0.57536,1.39179,0.89259,0.00073404,0.00073404,0.00073404
20,111.8,0.81487,0.8297,1.74813,0.95386,0.81629,0.83379,0.86466,0.70677,0.81629,0.83379,0.85233,0.62278,0.66326,0.58885,1.51907,0.88185,0.000728542,0.000728542,0.000728542
21,117.435,0.81231,0.91908,1.76218,0.95308,0.95519,0.93809,0.94593,0.77549,0.95519,0.93809,0.94254,0.70354,0.67869,0.61388,1.56782,0.88349,0.000723044,0.000723044,0.000723044
22,122.937,0.82033,0.83079,1.72184,0.95515,0.96708,0.94286,0.94154,0.77173,0.96708,0.94286,0.94154,0.73119,0.64045,0.63738,1.32238,0.88006,0.000717546,0.000717546,0.000717546
23,128.4,0.80717,0.88987,1.69328,0.94617,0.85923,0.94286,0.94906,0.75524,0.85923,0.94286,0.94845,0.65897,0.69909,0.6077,1.47005,0.89624,0.000712048,0.000712048,0.000712048
24,133.913,0.79774,0.8453,1.63447,0.94892,0.97278,0.94286,0.95566,0.80516,0.97278,0.94286,0.95566,0.72463,0.66489,0.62892,1.28081,0.87076,0.000706551,0.000706551,0.000706551
25,139.39,0.78419,0.87949,1.65865,0.93601,0.98319,0.94286,0.94247,0.76806,0.98319,0.94286,0.94247,0.72817,0.65839,0.61741,1.16947,0.87118,0.000701053,0.000701053,0.000701053
26,144.864,0.79062,0.8544,1.65597,0.94448,0.85281,0.94116,0.89587,0.67144,0.85281,0.94116,0.89587,0.59999,0.64887,0.61327,1.55186,0.86737,0.000695555,0.000695555,0.000695555
27,150.341,0.77361,0.82519,1.59062,0.93777,0.86353,0.93503,0.91543,0.73854,0.86353,0.93503,0.91543,0.68293,0.65973,0.58199,1.3683,0.88543,0.000690057,0.000690057,0.000690057
28,155.963,0.78203,0.84398,1.61909,0.94408,0.92805,0.94286,0.95545,0.76624,0.92805,0.94286,0.96915,0.69082,0.67678,0.64646,1.24304,0.87595,0.000684559,0.000684559,0.000684559
29,162.272,0.77946,0.86201,1.60814,0.943,0.94093,0.93063,0.95137,0.75329,0.94093,0.93063,0.9439,0.70335,0.64032,0.72507,1.3502,0.87189,0.000679062,0.000679062,0.000679062
30,168.622,0.76144,0.80985,1.56727,0.92424,0.90358,0.94286,0.96513,0.77773,0.90358,0.94286,0.9826,0.67971,0.67495,0.58337,1.35685,0.87976,0.000673564,0.000673564,0.000673564
31,174.091,0.73436,0.79777,1.5211,0.91946,0.9742,0.94286,0.96769,0.79755,0.9742,0.94286,0.94358,0.68199,0.63574,0.54085,1.29301,0.87316,0.000668066,0.000668066,0.000668066
32,179.558,0.74147,0.83391,1.49149,0.9279,0.95203,0.84013,0.92429,0.74856,0.95203,0.84013,0.9086,0.67437,0.63238,0.52679,1.27863,0.87304,0.000662568,0.000662568,0.000662568
33,185.057,0.74259,0.82325,1.5202,0.92452,0.96337,0.93927,0.95362,0.78315,0.96337,0.93927,0.95362,0.71108,0.64559,0.55498,1.2335,0.8738,0.00065707,0.00065707,0.00065707
34,190.576,0.73276,0.81715,1.51707,0.91692,0.95714,0.91931,0.95228,0.78234,0.95714,0.91931,0.95228,0.67027,0.6246,0.54702,1.2878,0.87172,0.000651573,0.000651573,0.000651573
35,196.158,0.74776,0.86575,1.52662,0.92188,0.9792,0.94286,0.95993,0.77937,0.9792,0.94286,0.95993,0.73549,0.63374,0.53819,1.30891,0.86831,0.000646075,0.000646075,0.000646075
36,201.626,0.74111,0.78069,1.47901,0.91816,0.97347,0.94067,0.94973,0.7793,0.97347,0.94067,0.94973,0.7164,0.63281,0.59204,1.23018,0.85963,0.000640577,0.000640577,0.000640577
37,207.071,0.7506,0.80014,1.49063,0.92868,0.93403,0.94286,0.94656,0.76415,0.93403,0.94286,0.94656,0.70256,0.63191,0.60816,1.35417,0.86621,0.000635079,0.000635079,0.000635079
