epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2295,0.78796,1.48869,1.54466,0.96762,0.80975,0.67308,0.728,0.5785,0.80975,0.67308,0.728,0.52119,0.68071,0.71527,1.01093,0.90654,0.000276312,0.000276312,0.000276312
2,31.4667,0.74511,1.03632,0.69328,0.93394,0.92602,0.77273,0.80644,0.63458,0.92602,0.77273,0.7905,0.56693,0.73775,0.5785,0.66787,0.99053,0.000550323,0.000550323,0.000550323
3,46.5729,0.7382,0.88864,0.62605,0.93821,0.8815,0.73932,0.75675,0.60047,0.8815,0.73932,0.75675,0.52632,0.75138,0.63707,0.7792,0.98059,0.000820668,0.000820668,0.000820668
4,61.674,0.71335,0.93577,0.57165,0.92905,0.934,0.74216,0.82951,0.65791,0.934,0.74216,0.82951,0.57261,0.71009,0.69536,0.69101,0.96558,0.000816507,0.000816507,0.000816507
5,76.6965,0.68699,0.88222,0.53488,0.92716,0.92642,0.71975,0.82909,0.66968,0.92642,0.71975,0.82786,0.61873,0.70966,0.57606,0.68552,0.95262,0.000811009,0.000811009,0.000811009
6,91.6974,0.67368,0.83779,0.50358,0.91854,0.71522,0.87329,0.88416,0.7251,0.71522,0.87329,0.88416,0.6658,0.69231,0.53742,0.60832,0.95109,0.000805511,0.000805511,0.000805511
7,106.735,0.65954,0.80349,0.47882,0.91255,0.89416,0.86937,0.97109,0.8042,0.89416,0.86937,0.97109,0.73511,0.6736,0.48482,0.52574,0.94401,0.000800013,0.000800013,0.000800013
8,121.862,0.6456,0.80935,0.45979,0.90769,0.9118,0.76474,0.8327,0.70264,0.9118,0.76474,0.8327,0.60212,0.66067,0.78062,0.54397,0.91876,0.000794515,0.000794515,0.000794515
9,137.059,0.63421,0.80558,0.44068,0.89514,0.84973,0.7166,0.82079,0.69312,0.84973,0.7166,0.82079,0.6199,0.66509,0.54641,0.75809,0.94451,0.000789018,0.000789018,0.000789018
10,152.106,0.62332,0.81081,0.43194,0.89708,0.94392,0.76555,0.98395,0.77693,0.94392,0.76555,0.98395,0.67659,0.64235,0.61183,0.5451,0.93083,0.00078352,0.00078352,0.00078352
11,167.13,0.61105,0.74198,0.41099,0.89288,0.88288,0.83154,0.8871,0.74584,0.88461,0.82604,0.87243,0.62863,0.6861,0.90457,0.5101,0.92328,0.000778022,0.000778022,0.000778022
12,182.157,0.60574,0.72705,0.41435,0.88882,0.92483,0.8734,0.94315,0.78114,0.92483,0.8734,0.94315,0.7508,0.58921,0.6242,0.50808,0.90002,0.000772524,0.000772524,0.000772524
13,197.202,0.60077,0.7069,0.39849,0.88647,0.95258,0.91294,0.99114,0.82092,0.95258,0.91294,0.99114,0.74558,0.58648,0.48736,0.45037,0.88818,0.000767026,0.000767026,0.000767026
