epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2812,0.77439,1.46586,1.3392,0.96599,0.84883,0.68198,0.83763,0.6501,0.84883,0.68198,0.83763,0.56149,0.67791,0.59522,0.93232,0.96715,0.000276312,0.000276312,0.000276312
2,31.5267,0.71191,1.06017,0.63633,0.91859,0.85488,0.71802,0.75662,0.58708,0.85488,0.71802,0.75662,0.52443,0.7476,0.64169,0.76814,1.00286,0.000550323,0.000550323,0.000550323
3,46.513,0.69664,1.00655,0.5819,0.91999,0.91836,0.76381,0.98436,0.75068,0.91836,0.76381,0.98436,0.67768,0.72579,0.58036,0.6886,0.96003,0.000820668,0.000820668,0.000820668
4,61.6021,0.6924,0.96807,0.55227,0.91549,0.83543,0.70201,0.75687,0.60361,0.83543,0.70201,0.75687,0.52676,0.69399,0.60215,0.93148,0.96191,0.000816507,0.000816507,0.000816507
5,76.5221,0.67064,0.95952,0.5152,0.90872,0.93347,0.73622,0.87225,0.72481,0.93347,0.73622,0.87225,0.66654,0.67254,0.66046,0.62478,0.95975,0.000811009,0.000811009,0.000811009
6,91.4903,0.6353,0.91117,0.46764,0.89786,0.97769,0.79372,0.89684,0.74242,0.97769,0.79372,0.89684,0.6604,0.65438,0.53725,0.67391,0.92659,0.000805511,0.000805511,0.000805511
7,106.569,0.6264,0.87465,0.45041,0.89133,0.89149,0.89636,0.90499,0.70686,0.89149,0.89636,0.90499,0.63218,0.64052,0.57035,0.53206,0.91919,0.000800013,0.000800013,0.000800013
8,121.607,0.60524,0.85729,0.43923,0.88573,0.92312,0.68877,0.88418,0.72124,0.92312,0.68877,0.88418,0.64447,0.69749,0.54767,0.70299,0.96076,0.000794515,0.000794515,0.000794515
9,136.756,0.59682,0.82413,0.42695,0.8833,0.85383,0.77659,0.86797,0.71398,0.85383,0.77659,0.86797,0.62565,0.65252,0.5388,0.65511,0.93182,0.000789018,0.000789018,0.000789018
10,151.703,0.59477,0.82571,0.4193,0.88043,0.93101,0.77273,0.9761,0.7541,0.93101,0.77273,0.90976,0.65477,0.62461,0.59432,0.54989,0.90991,0.00078352,0.00078352,0.00078352
11,166.691,0.58428,0.82192,0.41079,0.87813,0.95544,0.95014,0.98475,0.82815,0.95544,0.95014,0.98475,0.75857,0.60717,0.52418,0.50352,0.8941,0.000778022,0.000778022,0.000778022
12,181.74,0.57439,0.82853,0.39953,0.87394,0.95556,0.89636,0.92354,0.77437,0.95556,0.89636,0.92354,0.69929,0.62199,0.6209,0.49322,0.90917,0.000772524,0.000772524,0.000772524
13,196.881,0.5638,0.76392,0.38247,0.86532,0.92666,0.7905,0.95878,0.70437,0.92666,0.7905,0.88735,0.63345,0.5741,0.58558,0.52578,0.90239,0.000767026,0.000767026,0.000767026
14,211.876,0.56308,0.78423,0.3873,0.87357,0.92101,0.92976,0.99478,0.80345,0.92101,0.92976,0.99478,0.75025,0.61548,0.54527,0.42427,0.91212,0.000761529,0.000761529,0.000761529
15,226.921,0.55797,0.79307,0.38019,0.87165,0.89736,0.99273,0.99307,0.85739,0.89736,0.99273,0.99307,0.75431,0.5774,0.53137,0.42586,0.8814,0.000756031,0.000756031,0.000756031
16,241.955,0.55544,0.76266,0.37278,0.87025,0.84801,0.87754,0.92261,0.76356,0.84801,0.87754,0.92261,0.64252,0.56861,0.4936,0.51407,0.88394,0.000750533,0.000750533,0.000750533
17,257.019,0.55425,0.78669,0.38135,0.86584,0.75667,0.89636,0.89295,0.77364,0.75667,0.89636,0.89295,0.70159,0.56939,0.57189,0.45762,0.88805,0.000745035,0.000745035,0.000745035
18,272.19,0.5439,0.76282,0.3671,0.86495,0.96249,0.99558,0.99496,0.82547,0.96249,0.99558,0.99496,0.72297,0.6248,0.52753,0.46668,0.9162,0.000739537,0.000739537,0.000739537
19,287.186,0.54266,0.74731,0.36053,0.86629,0.97403,0.96427,0.995,0.856,0.97403,0.96427,0.995,0.77712,0.55135,0.58762,0.40729,0.87822,0.00073404,0.00073404,0.00073404
20,302.293,0.54121,0.72889,0.35811,0.85626,0.97355,0.98896,0.99489,0.86654,0.97355,0.98896,0.99489,0.80116,0.55851,0.57052,0.3909,0.89023,0.000728542,0.000728542,0.000728542
21,317.403,0.52539,0.74252,0.35155,0.86118,0.86792,0.99763,0.94712,0.77485,0.86792,0.99763,0.94712,0.68924,0.57731,0.5739,0.43668,0.87657,0.000723044,0.000723044,0.000723044
22,332.431,0.52042,0.72859,0.34669,0.86064,0.94518,0.98274,0.995,0.86304,0.94518,0.98274,0.995,0.76561,0.56576,0.54326,0.35628,0.87641,0.000717546,0.000717546,0.000717546
23,347.541,0.52809,0.72559,0.35378,0.85749,0.95185,0.98216,0.9947,0.85704,0.95185,0.98216,0.9947,0.75872,0.54365,0.58528,0.45644,0.8655,0.000712048,0.000712048,0.000712048
24,362.55,0.51861,0.71895,0.34191,0.85703,0.94468,0.99265,0.99311,0.85452,0.94468,0.99265,0.99311,0.75681,0.5485,0.56632,0.38764,0.87464,0.000706551,0.000706551,0.000706551
25,377.604,0.52197,0.73271,0.3426,0.85984,0.97699,0.99256,0.99479,0.84956,0.97699,0.99256,0.99479,0.77132,0.55315,0.46132,0.36126,0.87835,0.000701053,0.000701053,0.000701053
26,392.705,0.51445,0.7232,0.3388,0.85173,0.88955,0.97023,0.995,0.8642,0.88955,0.97023,0.995,0.78695,0.55439,0.50628,0.36238,0.86367,0.000695555,0.000695555,0.000695555
27,407.859,0.51318,0.69717,0.34104,0.85498,0.88425,0.99349,0.995,0.87552,0.88425,0.99349,0.995,0.79458,0.54401,0.6178,0.4203,0.8597,0.000690057,0.000690057,0.000690057
28,422.896,0.5144,0.71252,0.33353,0.85337,0.94982,0.99679,0.995,0.867,0.94982,0.99679,0.995,0.75798,0.52862,0.56744,0.40187,0.85762,0.000684559,0.000684559,0.000684559
29,541.852,0.50445,0.6989,0.33317,0.85387,0.93297,0.98802,0.995,0.88494,0.93297,0.98802,0.995,0.78574,0.53347,0.51781,0.3264,0.86239,0.000679062,0.000679062,0.000679062
