epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.07448,2.3395,8.01755,13.6689,2.29642,0.90157,0.29883,0.42378,0.24237,0.87856,0.28601,0.39899,0.18416,2.20128,3.22741,7.52085,2.06633,0.000163055,0.000163055,0.000163055
2,12.573,1.60183,3.63094,7.95016,1.73387,0.70787,0.32622,0.51387,0.32165,0.68262,0.30686,0.47688,0.21609,1.64289,2.85108,6.5065,1.65928,0.00032748,0.00032748,0.00032748
3,17.6868,1.28908,2.78404,6.43736,1.49767,0.68131,0.33531,0.51227,0.27837,0.6709,0.32249,0.48479,0.19189,1.53622,2.47187,6.11762,1.57841,0.000489705,0.000489705,0.000489705
4,23.0716,1.13686,2.34629,5.67782,1.40785,0.71239,0.38064,0.48938,0.27668,0.7146,0.38439,0.4574,0.19765,1.5403,2.46895,6.13605,1.6416,0.000649731,0.000649731,0.000649731
5,28.1086,1.08824,2.11198,5.04294,1.34661,0.61056,0.38841,0.59718,0.3501,0.63375,0.3862,0.53819,0.25499,1.42059,2.34598,5.3534,1.40176,0.000807558,0.000807558,0.000807558
6,32.8938,1.02856,1.84381,4.56567,1.3165,0.72224,0.4363,0.51096,0.28994,0.64689,0.38493,0.45465,0.20543,1.32647,2.05533,5.68754,1.37763,0.000805511,0.000805511,0.000805511
7,38.2618,1.00072,1.72817,4.24378,1.28793,0.5866,0.52854,0.5271,0.30463,0.56292,0.48529,0.45604,0.21995,1.5941,2.76481,6.15367,1.58682,0.000800013,0.000800013,0.000800013
8,43.9246,0.95088,1.54337,3.91135,1.28512,0.58213,0.6269,0.6224,0.34518,0.57062,0.59954,0.58689,0.24585,1.33378,2.56204,5.54981,1.34782,0.000794515,0.000794515,0.000794515
9,49.0232,0.92259,1.45416,3.57989,1.24894,0.64729,0.61783,0.61189,0.34181,0.63541,0.59938,0.58337,0.27221,1.35236,2.17997,5.3965,1.38787,0.000789018,0.000789018,0.000789018
10,53.7938,0.90199,1.29335,3.22801,1.232,0.63255,0.5578,0.63664,0.34214,0.72676,0.49645,0.54541,0.25538,1.41423,2.51829,5.14238,1.42582,0.00078352,0.00078352,0.00078352
11,58.5892,0.88182,1.24423,2.98913,1.22676,0.70631,0.4979,0.56159,0.30984,0.71121,0.4643,0.48408,0.21953,1.40628,2.18999,5.88978,1.38701,0.000778022,0.000778022,0.000778022
