epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37397,2.1508,7.43935,6.06356,1.94986,0.79639,0.26195,0.3852,0.23171,0.79639,0.26195,0.34539,0.1501,1.81615,3.95429,3.56274,1.67003,0.000269733,0.000269733,0.000269733
2,6.54887,1.62203,3.20318,2.312,1.63958,0.49365,0.57546,0.53432,0.33829,0.46745,0.48573,0.4764,0.21622,1.48069,2.41001,2.36956,1.56825,0.000543787,0.000543787,0.000543787
3,9.70911,1.26417,2.22035,1.34364,1.40271,0.6027,0.60839,0.67123,0.43436,0.55097,0.54067,0.56458,0.25695,1.26472,1.77286,1.28221,1.37443,0.000814176,0.000814176,0.000814176
4,12.876,1.11048,1.78953,1.10327,1.27904,0.67293,0.69908,0.72511,0.46957,0.63414,0.65381,0.64862,0.28028,1.08302,1.46215,1.22584,1.21992,0.000816507,0.000816507,0.000816507
5,16.0096,1.0056,1.4596,0.94207,1.21495,0.86739,0.6573,0.84454,0.55159,0.80649,0.59743,0.75419,0.35317,0.99013,1.23537,1.07026,1.15904,0.000811009,0.000811009,0.000811009
6,19.1641,0.92473,1.32744,0.86448,1.16302,0.75427,0.87021,0.90497,0.63134,0.72364,0.82453,0.81977,0.40852,0.88408,1.06112,0.83448,1.09357,0.000805511,0.000805511,0.000805511
7,22.3123,0.87942,1.17174,0.78657,1.136,0.93503,0.78511,0.90697,0.64472,0.88064,0.7355,0.83208,0.4016,0.86611,1.09757,0.77351,1.09867,0.000800013,0.000800013,0.000800013
8,25.4724,0.81015,1.11675,0.71112,1.0951,0.85663,0.88137,0.92841,0.66411,0.83209,0.85643,0.8807,0.44199,0.74785,0.96699,0.65029,1.00785,0.000794515,0.000794515,0.000794515
9,28.6125,0.77192,1.02658,0.66337,1.07107,0.84616,0.85733,0.90903,0.68033,0.80743,0.81472,0.84938,0.41987,0.74385,0.83061,0.62034,0.99019,0.000789018,0.000789018,0.000789018
10,31.7254,0.75584,0.96323,0.63041,1.05881,0.89714,0.89245,0.9442,0.70087,0.85931,0.85358,0.8826,0.44556,0.70828,0.76602,0.60211,0.99214,0.00078352,0.00078352,0.00078352
11,34.8887,0.71851,0.93773,0.60065,1.0455,0.8685,0.86405,0.93558,0.70739,0.86264,0.85695,0.92418,0.47663,0.65654,0.77369,0.57887,0.96577,0.000778022,0.000778022,0.000778022
12,38.0111,0.68824,0.84864,0.56717,1.02968,0.91163,0.90513,0.94385,0.73531,0.89658,0.88832,0.91635,0.47662,0.63992,0.74747,0.54249,0.94501,0.000772524,0.000772524,0.000772524
13,41.1626,0.65709,0.8191,0.54341,1.01001,0.92895,0.92848,0.9699,0.74787,0.88838,0.88513,0.91248,0.47196,0.63154,0.69519,0.51602,0.93555,0.000767026,0.000767026,0.000767026
