epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.42015,2.34866,8.37526,21.9884,2.29843,0.71786,0.38554,0.42753,0.23814,0.69855,0.37025,0.37496,0.2108,2.23393,4.04684,12.4351,2.21302,0.000270725,0.000270725,0.000270725
2,14.5472,1.86768,3.69102,9.97401,1.98503,0.66815,0.44625,0.50734,0.31339,0.52261,0.4133,0.4595,0.24066,1.84445,2.9288,9.20786,2.18999,0.000544772,0.000544772,0.000544772
3,21.6988,1.61701,2.85742,6.89513,1.80708,0.73615,0.56539,0.55249,0.37308,0.70502,0.54501,0.50936,0.27772,1.574,2.3545,6.85995,1.84264,0.000815154,0.000815154,0.000815154
4,28.7537,1.44236,2.37601,5.7654,1.65528,0.72203,0.60212,0.68541,0.44101,0.70869,0.59676,0.652,0.35932,1.39049,1.9847,5.47396,1.62,0.000816507,0.000816507,0.000816507
5,35.8596,1.31794,2.1417,4.99844,1.52675,0.67002,0.65391,0.65874,0.44789,0.64309,0.63617,0.61889,0.34436,1.27469,1.89622,4.73026,1.47878,0.000811009,0.000811009,0.000811009
6,42.8898,1.23713,1.95263,4.51012,1.44009,0.53949,0.68834,0.66506,0.4557,0.52137,0.66565,0.62945,0.37485,1.21292,1.54464,4.41531,1.41362,0.000805511,0.000805511,0.000805511
7,50.2048,1.15981,1.72866,4.07158,1.38807,0.81923,0.67971,0.79413,0.53332,0.80832,0.66972,0.76745,0.43397,1.10418,1.43474,3.94931,1.32294,0.000800013,0.000800013,0.000800013
8,57.2295,1.11028,1.59802,3.82382,1.34713,0.87459,0.66875,0.82926,0.54603,0.86397,0.65505,0.80384,0.46715,1.08659,1.2583,3.74931,1.30734,0.000794515,0.000794515,0.000794515
9,64.2211,1.06215,1.49045,3.61672,1.31158,0.83408,0.76908,0.86866,0.57216,0.80647,0.73583,0.814,0.46688,1.0591,1.19624,3.63352,1.27314,0.000789018,0.000789018,0.000789018
10,71.1988,1.01658,1.38598,3.32544,1.28131,0.80971,0.86519,0.84834,0.57343,0.80175,0.856,0.83118,0.47819,0.97801,1.06013,3.20911,1.22935,0.00078352,0.00078352,0.00078352
11,78.1958,0.97144,1.30303,3.18078,1.24585,0.81591,0.87243,0.91402,0.62855,0.80666,0.86265,0.89537,0.49922,0.93594,1.02962,3.02668,1.20043,0.000778022,0.000778022,0.000778022
12,85.2381,0.94918,1.26204,3.02126,1.23132,0.86668,0.83492,0.92556,0.66637,0.85642,0.82578,0.90983,0.54109,0.93218,1.10682,2.99323,1.16436,0.000772524,0.000772524,0.000772524
13,92.4725,0.93548,1.26208,2.94738,1.20459,0.80091,0.86414,0.92796,0.65571,0.79299,0.85669,0.91342,0.53659,0.90392,0.99052,2.86737,1.17326,0.000767026,0.000767026,0.000767026
