epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3907,1.05181,2.09815,1.92335,1.26012,0.81496,0.48406,0.57943,0.44452,0.80886,0.47666,0.56155,0.34951,0.87082,1.12005,0.92578,1.10144,0.000144199,0.000144199,0.000144199
2,80.5102,0.84253,1.35405,0.94973,1.09606,0.82157,0.63493,0.73875,0.5666,0.81311,0.62677,0.72583,0.45754,0.75864,1.02236,0.78212,1.02827,0.000286336,0.000286336,0.000286336
3,120.103,0.80944,1.26938,0.81249,1.0678,0.83806,0.71606,0.77502,0.57993,0.86241,0.67443,0.77512,0.47533,0.7598,1.02721,0.6686,1.04152,0.000425602,0.000425602,0.000425602
4,159.492,0.78662,1.28583,0.75455,1.05035,0.8656,0.75308,0.80829,0.64413,0.85453,0.74241,0.79273,0.50289,0.7171,0.93797,0.62573,1.02662,0.00042208,0.00042208,0.00042208
5,198.838,0.76107,1.18953,0.69822,1.04408,0.80703,0.81833,0.83121,0.63675,0.79776,0.8082,0.81169,0.50196,0.70763,0.83926,0.59234,1.01472,0.000417774,0.000417774,0.000417774
6,237.848,0.73314,1.11886,0.63375,1.02723,0.86981,0.86016,0.9018,0.71955,0.86192,0.84888,0.8868,0.5519,0.68089,0.8061,0.49433,1.02172,0.000413467,0.000413467,0.000413467
7,277.255,0.70885,1.09311,0.61496,1.01425,0.86508,0.85371,0.89173,0.72458,0.84986,0.83875,0.86843,0.57746,0.66309,0.81386,0.48964,0.99827,0.000409161,0.000409161,0.000409161
8,316.849,0.6884,1.07503,0.58269,1.00725,0.90701,0.85743,0.88697,0.72316,0.90027,0.84983,0.87291,0.56845,0.64729,0.80461,0.4816,0.98371,0.000404854,0.000404854,0.000404854
9,356.192,0.66158,1.04867,0.56084,0.98895,0.91442,0.82985,0.88349,0.71553,0.91501,0.80871,0.86728,0.57894,0.65039,0.7463,0.45937,0.99726,0.000400548,0.000400548,0.000400548
10,395.238,0.66827,1.04345,0.53675,0.99261,0.93559,0.85387,0.89935,0.74985,0.93361,0.84113,0.88214,0.5932,0.63604,0.75371,0.45181,0.98218,0.000396242,0.000396242,0.000396242
11,434.55,0.65234,0.97971,0.50816,0.98282,0.89582,0.89594,0.92778,0.76295,0.88773,0.88479,0.90834,0.58773,0.62381,0.75525,0.44186,0.98199,0.000391935,0.000391935,0.000391935
12,473.846,0.64567,0.94721,0.49402,0.98391,0.89848,0.86896,0.92762,0.77687,0.88408,0.85208,0.91249,0.6135,0.61588,0.73953,0.43648,0.97098,0.000387629,0.000387629,0.000387629
13,513.202,0.62954,0.92664,0.48863,0.97346,0.91547,0.86742,0.92259,0.743,0.91021,0.85338,0.88076,0.59271,0.6215,0.73079,0.4204,0.97595,0.000383322,0.000383322,0.000383322
14,552.552,0.62061,0.9292,0.4761,0.96974,0.88106,0.87418,0.89201,0.73951,0.87384,0.86656,0.88445,0.60737,0.59968,0.71899,0.42179,0.96489,0.000379015,0.000379015,0.000379015
15,591.722,0.60411,0.89952,0.47479,0.96627,0.95028,0.89309,0.93602,0.77972,0.94568,0.88891,0.92864,0.6272,0.591,0.71063,0.40056,0.9597,0.000374709,0.000374709,0.000374709
16,631.081,0.60709,0.88264,0.45901,0.96274,0.96564,0.87258,0.9402,0.80536,0.95412,0.86256,0.9259,0.6481,0.58337,0.6991,0.40626,0.95677,0.000370403,0.000370403,0.000370403
