epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2352,1.07048,2.16308,1.94071,1.26133,0.78758,0.49829,0.57097,0.435,0.82371,0.45928,0.54965,0.33929,0.86033,1.13093,1.01522,1.08968,0.000144199,0.000144199,0.000144199
1,39.8367,1.07048,2.16308,1.94071,1.26133,0.78758,0.49829,0.57097,0.435,0.82371,0.45928,0.54965,0.33929,0.86033,1.13093,1.01522,1.08968,0.000144199,0.000144199,0.000144199
2,86.5414,0.85473,1.3924,0.98765,1.09592,0.73501,0.65573,0.71985,0.54535,0.72459,0.64075,0.70503,0.43345,0.77938,1.04301,0.74319,1.04104,0.000286336,0.000286336,0.000286336
3,125.733,0.81039,1.31258,0.82621,1.06143,0.86037,0.69973,0.78332,0.59084,0.86182,0.70087,0.77698,0.47755,0.75172,0.99915,0.67386,1.03221,0.000425602,0.000425602,0.000425602
4,164.615,0.79238,1.31092,0.77466,1.05617,0.82423,0.7635,0.80689,0.61677,0.81431,0.75406,0.7951,0.49603,0.7124,0.93855,0.64482,1.03634,0.00042208,0.00042208,0.00042208
5,203.523,0.77471,1.21622,0.72362,1.04557,0.8952,0.76616,0.8797,0.68582,0.89513,0.75889,0.87244,0.53644,0.69964,0.85821,0.59403,1.0147,0.000417774,0.000417774,0.000417774
6,242.446,0.74045,1.15635,0.65786,1.03003,0.88999,0.84863,0.90339,0.69201,0.88535,0.84477,0.88794,0.5476,0.68255,0.84597,0.52993,1.02212,0.000413467,0.000413467,0.000413467
7,281.477,0.718,1.11614,0.62944,1.01839,0.86269,0.86778,0.88906,0.71545,0.85188,0.85607,0.87056,0.57002,0.65513,0.85493,0.52616,0.98852,0.000409161,0.000409161,0.000409161
8,320.549,0.69584,1.11366,0.59577,1.01036,0.84065,0.8741,0.88816,0.71259,0.82966,0.86335,0.8764,0.57135,0.65935,0.78211,0.50132,0.99318,0.000404854,0.000404854,0.000404854
9,359.398,0.68398,1.06352,0.57605,0.99803,0.84638,0.85643,0.89832,0.73752,0.8368,0.84734,0.8749,0.59182,0.63921,0.72847,0.47545,0.98469,0.000400548,0.000400548,0.000400548
10,398.393,0.67028,1.05813,0.55342,0.99515,0.92489,0.83622,0.89277,0.72821,0.91974,0.83087,0.88453,0.5924,0.63998,0.74844,0.4507,0.99124,0.000396242,0.000396242,0.000396242
11,437.208,0.65251,1.02431,0.5308,0.98448,0.90744,0.89482,0.9155,0.75179,0.89617,0.87963,0.90296,0.61163,0.63171,0.73205,0.45282,0.97448,0.000391935,0.000391935,0.000391935
12,476.268,0.64776,0.95512,0.50957,0.9793,0.8497,0.85967,0.92012,0.76213,0.83686,0.84764,0.90367,0.61746,0.63632,0.72709,0.43975,0.98062,0.000387629,0.000387629,0.000387629
13,515.235,0.63688,0.9372,0.49807,0.97381,0.93569,0.89707,0.92862,0.77884,0.92454,0.88596,0.91359,0.6097,0.62025,0.70637,0.41391,0.97236,0.000383322,0.000383322,0.000383322
14,554.212,0.62983,0.92302,0.4854,0.96666,0.91447,0.85243,0.92098,0.7574,0.90629,0.84471,0.91026,0.61326,0.60097,0.69663,0.41385,0.96797,0.000379015,0.000379015,0.000379015
15,593.014,0.60978,0.90767,0.48125,0.96391,0.92764,0.89034,0.93008,0.77337,0.91934,0.87996,0.91898,0.61379,0.58733,0.69303,0.39946,0.95451,0.000374709,0.000374709,0.000374709
16,631.81,0.60874,0.90482,0.47094,0.96033,0.95967,0.86779,0.92807,0.7736,0.94488,0.85159,0.90577,0.62143,0.59304,0.67951,0.40214,0.96288,0.000370403,0.000370403,0.000370403
17,670.829,0.59482,0.87882,0.45392,0.95518,0.93894,0.8526,0.88972,0.73842,0.93501,0.83816,0.87897,0.60205,0.58314,0.6958,0.39738,0.96154,0.000366096,0.000366096,0.000366096
18,709.66,0.60033,0.90084,0.45947,0.95553,0.89408,0.90134,0.93925,0.77403,0.89316,0.88204,0.92649,0.60941,0.58568,0.67888,0.38346,0.9484,0.00036179,0.00036179,0.00036179
19,748.489,0.59585,0.90864,0.4497,0.95353,0.87681,0.93054,0.93677,0.78912,0.86799,0.92118,0.93016,0.61964,0.56573,0.66951,0.3735,0.95915,0.000357483,0.000357483,0.000357483
20,787.465,0.5875,0.86768,0.4436,0.94674,0.91514,0.91619,0.94683,0.80202,0.90751,0.90883,0.93698,0.65394,0.56312,0.66398,0.37823,0.94342,0.000353177,0.000353177,0.000353177
21,826.428,0.58073,0.88402,0.43316,0.94946,0.96853,0.89416,0.9446,0.80421,0.96735,0.88231,0.93051,0.6536,0.56201,0.6526,0.36238,0.94308,0.00034887,0.00034887,0.00034887
22,865.449,0.58397,0.87121,0.43814,0.94962,0.9727,0.86534,0.92249,0.78322,0.964,0.85576,0.90543,0.63584,0.55567,0.67258,0.36604,0.94074,0.000344563,0.000344563,0.000344563
23,904.294,0.5648,0.80268,0.41322,0.93975,0.94412,0.91955,0.95065,0.80975,0.93135,0.90631,0.93633,0.66667,0.55804,0.64841,0.35593,0.93843,0.000340257,0.000340257,0.000340257
24,943.239,0.55031,0.78928,0.40727,0.93171,0.94996,0.91753,0.95066,0.81011,0.94595,0.90566,0.94189,0.6516,0.55376,0.64139,0.3588,0.94766,0.000335951,0.000335951,0.000335951
25,982.029,0.54932,0.81967,0.40735,0.93692,0.91734,0.95605,0.95931,0.83139,0.90472,0.94287,0.94508,0.67005,0.54154,0.62984,0.3484,0.93591,0.000331644,0.000331644,0.000331644
26,1021.07,0.55485,0.82427,0.41005,0.93583,0.93465,0.90929,0.94595,0.82716,0.9379,0.88798,0.93319,0.67202,0.54094,0.64346,0.34923,0.93447,0.000327337,0.000327337,0.000327337
27,1059.93,0.55101,0.80438,0.4007,0.93779,0.95193,0.92206,0.94887,0.83432,0.94113,0.90885,0.93239,0.65941,0.53378,0.64621,0.34488,0.93063,0.000323031,0.000323031,0.000323031
28,1098.78,0.55257,0.82079,0.39867,0.93812,0.94205,0.9295,0.95031,0.82317,0.93329,0.9191,0.93612,0.65661,0.53741,0.64622,0.33509,0.93121,0.000318725,0.000318725,0.000318725
29,1137.63,0.55183,0.83302,0.40502,0.93825,0.96236,0.92666,0.96098,0.83689,0.95026,0.91419,0.94331,0.68546,0.53697,0.61817,0.33816,0.93387,0.000314418,0.000314418,0.000314418
30,1176.63,0.54584,0.80987,0.39767,0.93325,0.93424,0.91397,0.95091,0.82457,0.95196,0.88181,0.93689,0.66265,0.54275,0.6409,0.33868,0.9338,0.000310111,0.000310111,0.000310111
31,1215.42,0.5346,0.788,0.38272,0.92842,0.96437,0.93151,0.95886,0.83797,0.95647,0.92269,0.94752,0.67756,0.53639,0.64079,0.33349,0.92664,0.000305805,0.000305805,0.000305805
32,1254.25,0.53197,0.76502,0.38518,0.92406,0.95687,0.92152,0.96216,0.84765,0.95162,0.91376,0.94671,0.68514,0.52447,0.61698,0.32993,0.92301,0.000301498,0.000301498,0.000301498
33,1293.32,0.52319,0.76526,0.37276,0.92228,0.96091,0.93488,0.96439,0.83695,0.95114,0.92837,0.95203,0.66763,0.52061,0.62029,0.3253,0.92112,0.000297192,0.000297192,0.000297192
34,1332.11,0.52884,0.76456,0.37103,0.92675,0.96097,0.91503,0.95161,0.83167,0.95741,0.90922,0.93649,0.66824,0.52018,0.60716,0.32405,0.92773,0.000292885,0.000292885,0.000292885
